Solvent,Temperature (°C),Solubility (%)
propanol,160,74.75088507
propanol,155,66.73751159
propanol,150,58.62632342
propanol,145,50.59332643
propanol,140,42.82792113
propanol,135,35.51847758
propanol,130,28.83370867
propanol,125,22.90370829
propanol,120,17.80500839
propanol,115,13.55506422
propanol,110,10.11681240
propanol,105,7.41184195
propanol,100,5.33737425
propanol,95,3.78256383
propanol,90,2.64092445
propanol,85,1.81796829
propanol,80,1.23457485
propanol,75,0.82734481
propanol,70,0.54719184
propanol,65,0.35714530
propanol,60,0.22998841
propanol,55,0.14607376
propanol,50,0.09146362
propanol,45,0.05642883
propanol,40,0.03428178
propanol,35,0.02049457
propanol,30,0.01204765
propanol,25,0.00695828
2-propanol,160,74.71952843
2-propanol,155,66.68774697
2-propanol,150,58.55748008
2-propanol,145,50.50779557
2-propanol,140,42.73098799
2-propanol,135,35.41739774
2-propanol,130,28.73623123
2-propanol,125,22.81647277
2-propanol,120,17.73240028
2-propanol,115,13.49878960
2-propanol,110,10.07623194
2-propanol,105,7.38474992
2-propanol,100,5.32086376
2-propanol,95,3.77371015
2-propanol,90,2.63719443
2-propanol,85,1.81738475
2-propanol,80,1.23571743
2-propanol,75,0.82926706
2-propanol,70,0.54931111
2-propanol,65,0.35913732
2-propanol,60,0.23170014
2-propanol,55,0.14745781
2-propanol,50,0.09253213
2-propanol,45,0.05722294
2-propanol,40,0.03485273
2-propanol,35,0.02089289
2-propanol,30,0.01231782
2-propanol,25,0.00713664
propanone,160,76.55912811
propanone,155,69.39961014
propanone,150,62.19412572
propanone,145,55.02877438
propanone,140,47.99500852
propanone,135,41.19210795
propanone,130,34.72511269
propanone,125,28.70049049
propanone,120,23.21911276
propanone,115,18.36426315
propanone,110,14.18968140
propanone,105,10.71122590
propanone,100,7.90406671
propanone,95,5.70821930
propanone,90,4.04024434
propanone,85,2.80676186
propanone,80,1.91630721
propanone,75,1.28719366
propanone,70,0.85127340
propanone,65,0.55455010
propanone,60,0.35591582
propanone,55,0.22505284
propanone,50,0.14017637
propanone,45,0.08597725
propanone,40,0.05190770
propanone,35,0.03083231
propanone,30,0.01800796
propanone,25,0.01033575
acetylacetone,160,61.37199421
acetylacetone,155,50.61751261
acetylacetone,150,40.63212366
acetylacetone,145,31.74437040
acetylacetone,140,24.17209744
acetylacetone,135,17.98426274
acetylacetone,130,13.11160423
acetylacetone,125,9.39233792
acetylacetone,120,6.62481520
acetylacetone,115,4.60785971
acetylacetone,110,3.16323977
acetylacetone,105,2.14409683
acetylacetone,100,1.43500252
acetylacetone,95,0.94811750
acetylacetone,90,0.61816180
acetylacetone,85,0.39751192
acetylacetone,80,0.25196999
acetylacetone,75,0.15733204
acetylacetone,70,0.09670704
acetylacetone,65,0.05847395
acetylacetone,60,0.03475456
acetylacetone,55,0.02028989
acetylacetone,50,0.01162603
acetylacetone,45,0.00653316
acetylacetone,40,0.00359752
acetylacetone,35,0.00193958
acetylacetone,30,0.00102296
acetylacetone,25,0.00052731
benzene,160,60.45499619
benzene,155,43.25861721
benzene,150,25.73451685
benzene,145,14.21479869
benzene,140,8.17569713
benzene,135,4.89605923
benzene,130,2.99903146
benzene,125,1.85506791
benzene,120,1.14899015
benzene,115,0.70849428
benzene,110,0.43311141
benzene,105,0.26164720
benzene,100,0.15580367
benzene,95,0.09125600
benzene,90,0.05247734
benzene,85,0.02958006
benzene,80,0.01631889
benzene,75,0.00879892
benzene,70,0.00463041
benzene,65,0.00237504
benzene,60,0.00118575
benzene,55,0.00057542
benzene,50,0.00027104
benzene,45,0.00012374
benzene,40,0.00005467
benzene,35,0.00002333
benzene,30,0.00000961
benzene,25,0.00000381
chcl3,160,55.45900026
chcl3,155,43.86008296
chcl3,150,33.64535633
chcl3,145,25.13419137
chcl3,140,18.38212695
chcl3,135,13.22780956
chcl3,130,9.40228576
chcl3,125,6.61922034
chcl3,120,4.62301560
chcl3,115,3.20574039
chcl3,110,2.20740809
chcl3,105,1.50894606
chcl3,100,1.02346896
chcl3,95,0.68833683
chcl3,90,0.45871365
chcl3,85,0.30267622
chcl3,80,0.19760308
chcl3,75,0.12754881
chcl3,70,0.08134308
chcl3,65,0.05121826
chcl3,60,0.03181920
chcl3,55,0.01949003
chcl3,50,0.01176221
chcl3,45,0.00698884
chcl3,40,0.00408541
chcl3,35,0.00234769
chcl3,30,0.00132514
chcl3,25,0.00073404
cyclohexane,160,5.19864387
cyclohexane,155,2.94168698
cyclohexane,150,1.77470608
cyclohexane,145,1.09770210
cyclohexane,140,0.68483852
cyclohexane,135,0.42718911
cyclohexane,130,0.26496900
cyclohexane,125,0.16280336
cyclohexane,120,0.09880946
cyclohexane,115,0.05910600
cyclohexane,110,0.03478220
cyclohexane,105,0.02010371
cyclohexane,100,0.01139614
cyclohexane,95,0.00632721
cyclohexane,90,0.00343617
cyclohexane,85,0.00182301
cyclohexane,80,0.00094363
cyclohexane,75,0.00047593
cyclohexane,70,0.00023358
cyclohexane,65,0.00011140
cyclohexane,60,0.00005156
cyclohexane,55,0.00002312
cyclohexane,50,0.00001003
cyclohexane,45,0.00000420
cyclohexane,40,0.00000170
cyclohexane,35,0.00000066
cyclohexane,30,0.00000025
cyclohexane,25,0.00000009
cyclohexanol,160,61.17146343
cyclohexanol,155,50.52184760
cyclohexanol,150,40.76884804
cyclohexanol,145,32.19073661
cyclohexanol,140,24.92459448
cyclohexanol,135,18.96890086
cyclohexanol,130,14.22008376
cyclohexanol,125,10.51858253
cyclohexanol,120,7.68707320
cyclohexanol,115,5.55508441
cyclohexanol,110,3.97174456
cyclohexanol,105,2.81033397
cyclohexanol,100,1.96816719
cyclohexanol,95,1.36417989
