Solvent,Temperature (°C),Solubility (%)
propanol,160,99.99546080
propanol,155,99.98915941
propanol,150,99.97519755
propanol,145,99.99980180
propanol,140,99.99923705
propanol,135,64.29634016
propanol,130,30.30557927
propanol,125,16.45985162
propanol,120,9.50694958
propanol,115,5.62129785
propanol,110,3.34797715
propanol,105,1.99187678
propanol,100,1.17806309
propanol,95,0.69050098
propanol,90,0.40025880
propanol,85,0.22910795
propanol,80,0.12934589
propanol,75,0.07195412
propanol,70,0.03940713
propanol,65,0.02123041
propanol,60,0.01124244
propanol,55,0.00584698
propanol,50,0.00298406
propanol,45,0.00149316
propanol,40,0.00073185
propanol,35,0.00035101
propanol,30,0.00016457
propanol,25,0.00007534
2-propanol,160,99.99900620
2-propanol,155,99.99743405
2-propanol,150,99.99355529
2-propanol,145,99.98447440
2-propanol,140,99.96447599
2-propanol,135,66.59485594
2-propanol,130,32.26680556
2-propanol,125,17.50986977
2-propanol,120,10.09945466
2-propanol,115,5.96651966
2-propanol,110,3.55189295
2-propanol,105,2.11270142
2-propanol,100,1.24941848
2-propanol,95,0.73233072
2-propanol,90,0.42453193
2-propanol,85,0.24302322
2-propanol,80,0.13721518
2-propanol,75,0.07633882
2-propanol,70,0.04181182
2-propanol,65,0.02252726
2-propanol,60,0.01192957
2-propanol,55,0.00620435
2-propanol,50,0.00316633
2-propanol,45,0.00158425
2-propanol,40,0.00077640
2-propanol,35,0.00037232
2-propanol,30,0.00017452
2-propanol,25,0.00007987
propanone,160,99.99870977
propanone,155,99.99805819
propanone,150,99.99706304
propanone,145,99.99554291
propanone,140,99.99322355
propanone,135,76.62623127
propanone,130,40.06745202
propanone,125,21.24251944
propanone,120,12.30876470
propanone,115,7.36072344
propanone,110,4.44244562
propanone,105,2.67866801
propanone,100,1.60503268
propanone,95,0.95266012
propanone,90,0.55895893
propanone,85,0.32371828
propanone,80,0.18484254
propanone,75,0.10395992
propanone,70,0.05754184
propanone,65,0.03131832
propanone,60,0.01674779
propanone,55,0.00879228
propanone,50,0.00452751
propanone,45,0.00228477
propanone,40,0.00112886
propanone,35,0.00054553
propanone,30,0.00025758
propanone,25,0.00011870
acetylacetone,160,99.99846756
