Solvent,Temperature (°C),Solubility (%)
propanol,160,75.29622515
propanol,155,63.98815361
propanol,150,50.05305760
propanol,145,37.88439772
propanol,140,29.03698249
propanol,135,22.64656986
propanol,130,17.89082567
propanol,125,14.25568716
propanol,120,11.42225442
propanol,115,9.18290812
propanol,110,7.39595872
propanol,105,5.96048737
propanol,100,4.80228715
propanol,95,3.86527470
propanol,90,3.10611599
propanol,85,2.49081740
propanol,80,1.99235193
propanol,75,1.58899425
propanol,70,1.26316370
propanol,65,1.00054724
propanol,60,0.78944921
propanol,55,0.62028402
propanol,50,0.48518852
propanol,45,0.37770910
propanol,40,0.29255178
propanol,35,0.22537926
propanol,30,0.17264462
propanol,25,0.13145435
2-propanol,160,76.84440476
2-propanol,155,67.11973528
2-propanol,150,54.64953700
2-propanol,145,42.26369936
2-propanol,140,32.51208190
2-propanol,135,25.31633338
2-propanol,130,19.95049003
2-propanol,125,15.86051019
2-propanol,120,12.68353055
2-propanol,115,10.18095019
2-propanol,110,8.18938388
2-propanol,105,6.59321604
2-propanol,100,5.30777080
2-propanol,95,4.26934644
2-propanol,90,3.42905034
2-propanol,85,2.74864378
2-propanol,80,2.19784171
2-propanol,75,1.75239760
2-propanol,70,1.39273150
2-propanol,65,1.10294346
2-propanol,60,0.87006275
2-propanol,55,0.68347908
2-propanol,50,0.53449634
2-propanol,45,0.41598458
2-propanol,40,0.32209885
2-propanol,35,0.24805258
2-propanol,30,0.18993249
2-propanol,25,0.14454652
propanone,160,82.93413567
propanone,155,77.61405541
propanone,150,70.72293736
propanone,145,61.51356970
propanone,140,50.05778903
propanone,135,39.08432814
propanone,130,30.64741278
propanone,125,24.41731652
propanone,120,19.70230918
propanone,115,16.03203804
propanone,110,13.11292084
propanone,105,10.75579182
propanone,100,8.83254399
propanone,95,7.25239912
propanone,90,5.94841443
propanone,85,4.86970803
propanone,80,3.97649843
propanone,75,3.23708214
propanone,70,2.62571675
propanone,65,2.12125410
propanone,60,1.70613437
propanone,55,1.36567321
propanone,50,1.08752135
propanone,45,0.86126456
propanone,40,0.67810465
propanone,35,0.53060734
propanone,30,0.41249729
propanone,25,0.31848844
acetylacetone,160,19.52964860
acetylacetone,155,14.12201415
acetylacetone,150,10.85930298
acetylacetone,145,8.58180431
acetylacetone,140,6.88444467
acetylacetone,135,5.57206752
acetylacetone,130,4.53387141
acetylacetone,125,3.70014046
acetylacetone,120,3.02382955
acetylacetone,115,2.47148832
acetylacetone,110,2.01843685
acetylacetone,105,1.64586904
acetylacetone,100,1.33912992
acetylacetone,95,1.08657923
acetylacetone,90,0.87882469
acetylacetone,85,0.70820367
acetylacetone,80,0.56840489
acetylacetone,75,0.45419516
acetylacetone,70,0.36121166
acetylacetone,65,0.28580657
acetylacetone,60,0.22492367
acetylacetone,55,0.17600103
acetylacetone,50,0.13689218
acetylacetone,45,0.10580166
acetylacetone,40,0.08123126
acetylacetone,35,0.06193496
acetylacetone,30,0.04688059
acetylacetone,25,0.03521714
benzene,160,81.47732639
benzene,155,77.40674307
benzene,150,73.08097728
benzene,145,68.48962634
benzene,140,63.62989542
benzene,135,58.51313923
benzene,130,53.17259786
benzene,125,47.67348646
benzene,120,42.11873583
benzene,115,36.64718232
benzene,110,31.41571357
benzene,105,26.56960456
benzene,100,22.21347086
benzene,95,18.39788286
benzene,90,15.12297217
benzene,85,12.35427415
benzene,80,10.03896358
benzene,75,8.11796678
benzene,70,6.53364868
benzene,65,5.23332665
benzene,60,4.17075907
benzene,55,3.30614205
benzene,50,2.60568364
benzene,45,2.04089279
benzene,40,1.58782896
benzene,35,1.22644226
benzene,30,0.93996957
benzene,25,0.71442634
chcl3,160,74.36378481
chcl3,155,69.37030420
chcl3,150,64.28472688
chcl3,145,59.11993756
chcl3,140,53.89673830
chcl3,135,48.64664417
chcl3,130,43.41610842
chcl3,125,38.26885922
chcl3,120,33.28665539
chcl3,115,28.56360518
chcl3,110,24.19383021
chcl3,105,20.25371006
chcl3,100,16.78864591
chcl3,95,13.80656954
chcl3,90,11.28392512
chcl3,85,9.17696514
chcl3,80,7.43271779
chcl3,75,5.99755953
chcl3,70,4.82185749
chcl3,65,3.86190604
chcl3,60,3.08042863
chcl3,55,2.44608864
chcl3,50,1.93280819
chcl3,45,1.51896996
chcl3,40,1.18666482
chcl3,35,0.92107013
chcl3,30,0.70990988
chcl3,25,0.54301814
cyclohexane,160,81.62826798
cyclohexane,155,78.01920658
cyclohexane,150,74.34650538
cyclohexane,145,70.62050808
cyclohexane,140,66.85299508
cyclohexane,135,63.05687271
cyclohexane,130,59.24626087
cyclohexane,125,55.43647534
cyclohexane,120,51.64397146
cyclohexane,115,47.88623937
cyclohexane,110,44.18164098
cyclohexane,105,40.54918049
cyclohexane,100,37.00820280
cyclohexane,95,33.57801828
cyclohexane,90,30.27740116
cyclohexane,85,27.12434419
cyclohexane,80,24.13509569
cyclohexane,75,21.32394396
cyclohexane,70,18.70261687
cyclohexane,65,16.27984900
cyclohexane,60,14.06107540
cyclohexane,55,12.04820425
cyclohexane,50,10.23971051
cyclohexane,45,8.63072274
cyclohexane,40,7.21337230
cyclohexane,35,5.97723994
cyclohexane,30,4.90990963
cyclohexane,25,3.99751845
cyclohexanol,160,69.05168144
cyclohexanol,155,60.30416907
cyclohexanol,150,51.02151819
cyclohexanol,145,42.05598740
cyclohexanol,140,34.15390124
cyclohexanol,135,27.59787330
cyclohexanol,130,22.30720703
cyclohexanol,125,18.07001260
cyclohexanol,120,14.67192093
cyclohexanol,115,11.93459599
cyclohexanol,110,9.71870552
cyclohexanol,105,7.91717017
cyclohexanol,100,6.44760611
cyclohexanol,95,5.24595325
cyclohexanol,90,4.26196871
cyclohexanol,85,3.45577039
cyclohexanol,80,2.79534286
cyclohexanol,75,2.25479890
cyclohexanol,70,1.81300815
cyclohexanol,65,1.45264282
cyclohexanol,60,1.15941758
cyclohexanol,55,0.92151425
cyclohexanol,50,0.72913447
cyclohexanol,45,0.57414114
cyclohexanol,40,0.44977623
cyclohexanol,35,0.35042879
cyclohexanol,30,0.27144571
cyclohexanol,25,0.20897530
"2,3-dihydropyran",160,80.47336132
"2,3-dihydropyran",155,76.31325856
"2,3-dihydropyran",150,71.95188806
"2,3-dihydropyran",145,67.39314372
"2,3-dihydropyran",140,62.64929187
"2,3-dihydropyran",135,57.74476878
"2,3-dihydropyran",130,52.71983519
"2,3-dihydropyran",125,47.63278280
"2,3-dihydropyran",120,42.56076086
"2,3-dihydropyran",115,37.59521891
"2,3-dihydropyran",110,32.83285505
"2,3-dihydropyran",105,28.36320478
"2,3-dihydropyran",100,24.25679541
"2,3-dihydropyran",95,20.55782550
"2,3-dihydropyran",90,17.28302685
"2,3-dihydropyran",85,14.42598237
"2,3-dihydropyran",80,11.96321880
"2,3-dihydropyran",75,9.86128003
"2,3-dihydropyran",70,8.08204743
"2,3-dihydropyran",65,6.58661786
"2,3-dihydropyran",60,5.33759889
"2,3-dihydropyran",55,4.30047164
"2,3-dihydropyran",50,3.44415954
"2,3-dihydropyran",45,2.74111737
"2,3-dihydropyran",40,2.16724555
"2,3-dihydropyran",35,1.70163054
"2,3-dihydropyran",30,1.32624513
"2,3-dihydropyran",25,1.02564007
dimethylformamide,160,69.10030375
dimethylformamide,155,44.85433800
dimethylformamide,150,30.89956391
dimethylformamide,145,23.79451501
dimethylformamide,140,19.08095300
dimethylformamide,135,15.61097845
dimethylformamide,130,12.91709604
dimethylformamide,125,10.75979041
dimethylformamide,120,8.99771006
dimethylformamide,115,7.53960537
dimethylformamide,110,6.32239996
dimethylformamide,105,5.30042170
dimethylformamide,100,4.43917379
dimethylformamide,95,3.71185017
dimethylformamide,90,3.09709125
dimethylformamide,85,2.57752239
dimethylformamide,80,2.13879576
dimethylformamide,75,1.76891342
dimethylformamide,70,1.45773329
dimethylformamide,65,1.19662483
dimethylformamide,60,0.97820028
dimethylformamide,55,0.79611157
dimethylformamide,50,0.64489134
dimethylformamide,45,0.51982577
dimethylformamide,40,0.41685106
dimethylformamide,35,0.33246725
dimethylformamide,30,0.26366573
dimethylformamide,25,0.20786693
dimethylsulfoxide,160,5.75495379
dimethylsulfoxide,155,4.93422403
dimethylsulfoxide,150,4.23551646
dimethylsulfoxide,145,3.63718226
dimethylsulfoxide,140,3.12273582
dimethylsulfoxide,135,2.67921417
dimethylsulfoxide,130,2.29620725
dimethylsulfoxide,125,1.96518409
dimethylsulfoxide,120,1.67904501
dimethylsulfoxide,115,1.43180028
dimethylsulfoxide,110,1.21834592
dimethylsulfoxide,105,1.03429388
dimethylsulfoxide,100,0.87584623
dimethylsulfoxide,95,0.73969740
dimethylsulfoxide,90,0.62295958
dimethylsulfoxide,85,0.52310248
dimethylsulfoxide,80,0.43790504
dimethylsulfoxide,75,0.36541580
dimethylsulfoxide,70,0.30391985
dimethylsulfoxide,65,0.25191098
dimethylsulfoxide,60,0.20806764
dimethylsulfoxide,55,0.17123214
dimethylsulfoxide,50,0.14039244
dimethylsulfoxide,45,0.11466587
dimethylsulfoxide,40,0.09328478
dimethylsulfoxide,35,0.07558349
dimethylsulfoxide,30,0.06098671
dimethylsulfoxide,25,0.04899895
diphenylether,160,60.25311638
diphenylether,155,52.02582795
diphenylether,150,43.92816314
diphenylether,145,36.37504864
diphenylether,140,29.73042211
diphenylether,135,24.15665337
diphenylether,130,19.61225126
diphenylether,125,15.95029661
diphenylether,120,13.00372577
diphenylether,115,10.62465852
diphenylether,110,8.69408275
diphenylether,105,7.11937277
diphenylether,100,5.82932970
diphenylether,95,4.76893934
diphenylether,90,3.89525275
diphenylether,85,3.17446109
diphenylether,80,2.57962172
diphenylether,75,2.08899780
diphenylether,70,1.68489748
diphenylether,65,1.35279101
diphenylether,60,1.08064322
diphenylether,55,0.85843170
diphenylether,50,0.67776574
diphenylether,45,0.53159786
diphenylether,40,0.41399241
diphenylether,35,0.31994808
diphenylether,30,0.24525138
diphenylether,25,0.18635790
dodecane,160,67.52219035
dodecane,155,62.14487396
dodecane,150,56.97632877
dodecane,145,52.03264053
dodecane,140,47.32747917
dodecane,135,42.87188310
dodecane,130,38.67411685
dodecane,125,34.73960609
dodecane,120,31.07094967
dodecane,115,27.66800471
dodecane,110,24.52803709
dodecane,105,21.64592738
dodecane,100,19.01442047
dodecane,95,16.62440614
dodecane,90,14.46521833
dodecane,85,12.52494120
dodecane,80,10.79071161
dodecane,75,9.24900923
dodecane,70,7.88592733
dodecane,65,6.68741912
dodecane,60,5.63951624
dodecane,55,4.72851772
dodecane,50,3.94114869
dodecane,45,3.26468973
dodecane,40,2.68707802
dodecane,35,2.19698253
dodecane,30,1.78385544
dodecane,25,1.43796262
ethanol,160,76.43528182
ethanol,155,53.14876297
ethanol,150,33.58759955
ethanol,145,24.25317258
ethanol,140,18.40069389
ethanol,135,14.29541815
ethanol,130,11.25356686
ethanol,125,8.92804767
ethanol,120,7.11552333
ethanol,115,5.68511656
ethanol,110,4.54704373
ethanol,105,3.63677083
ethanol,100,2.90637830
ethanol,95,2.31931541
ethanol,90,1.84720703
ethanol,85,1.46767205
ethanol,80,1.16288635
ethanol,75,0.91853564
ethanol,70,0.72305941
ethanol,65,0.56708658
ethanol,60,0.44300170
ethanol,55,0.34461041
ethanol,50,0.26687334
ethanol,45,0.20569373
ethanol,40,0.15774584
ethanol,35,0.12033519
ethanol,30,0.09128422
ethanol,25,0.06883819
ethylacetate,160,77.03747112
ethylacetate,155,71.29156241
ethylacetate,150,64.89730139
ethylacetate,145,57.88296886
ethylacetate,140,50.44109721
ethylacetate,135,42.97142867
ethylacetate,130,35.96338061
ethylacetate,125,29.77354294
ethylacetate,120,24.52338977
ethylacetate,115,20.16257705
ethylacetate,110,16.57008570
ethylacetate,105,13.61550734
ethylacetate,100,11.18302772
ethylacetate,95,9.17679535
ethylacetate,90,7.51950455
ethylacetate,85,6.14901764
ethylacetate,80,5.01537677
ethylacetate,75,4.07810416
ethylacetate,70,3.30410843
ethylacetate,65,2.66617801
ethylacetate,60,2.14173422
ethylacetate,55,1.71196110
ethylacetate,50,1.36109552
ethylacetate,45,1.07588693
ethylacetate,40,0.84517466
ethylacetate,35,0.65954665
ethylacetate,30,0.51106928
ethylacetate,25,0.39306303
glycol,160,0.50673517
glycol,155,0.40705001
glycol,150,0.32606478
glycol,145,0.26040305
glycol,140,0.20729397
glycol,135,0.16445709
glycol,130,0.13001173
glycol,125,0.10240596
glycol,120,0.08035965
glycol,115,0.06281821
glycol,110,0.04891457
glycol,105,0.03793776
glycol,100,0.02930657
glycol,95,0.02254758
glycol,90,0.01727666
glycol,85,0.01318343
glycol,80,0.01001817
glycol,75,0.00758090
glycol,70,0.00571221
glycol,65,0.00428561
glycol,60,0.00320121
glycol,55,0.00238051
glycol,50,0.00176212
glycol,45,0.00129825
glycol,40,0.00095185
glycol,35,0.00069438
glycol,30,0.00050391
glycol,25,0.00036370
n-heptane,160,78.52434295
n-heptane,155,74.40579365
n-heptane,150,70.25283191
n-heptane,145,66.08192099
n-heptane,140,61.91093748
n-heptane,135,57.75899224
n-heptane,130,53.64622108
n-heptane,125,49.59350586
n-heptane,120,45.62212516
n-heptane,115,41.75338342
n-heptane,110,38.00795053
n-heptane,105,34.40565892
n-heptane,100,30.96476052
n-heptane,95,27.70147530
n-heptane,90,24.62952661
n-heptane,85,21.75975306
n-heptane,80,19.09982443
n-heptane,75,16.65408265
n-heptane,70,14.42351893
n-heptane,65,12.40588233
n-heptane,60,10.59594091
n-heptane,55,8.98578721
n-heptane,50,7.56529050
n-heptane,45,6.32255584
n-heptane,40,5.24440938
n-heptane,35,4.31687218
n-heptane,30,3.52560001
n-heptane,25,2.85627243
hexane,160,81.11272538
hexane,155,77.38783998
hexane,150,73.59444914
hexane,145,69.74473195
hexane,140,65.85243462
hexane,135,61.93288016
hexane,130,58.00293221
hexane,125,54.08090149
hexane,120,50.18638387
hexane,115,46.34002083
hexane,110,42.56317607
hexane,105,38.87752746
hexane,100,35.30458048
hexane,95,31.86511772
hexane,90,28.57860819
hexane,85,25.46260863
hexane,80,22.53221450
hexane,75,19.79947920
hexane,70,17.27317489
hexane,65,14.95843909
hexane,60,12.85673356
hexane,55,10.96593892
hexane,50,9.28060932
hexane,45,7.79236072
hexane,40,6.49037311
hexane,35,5.36192264
hexane,30,4.39296782
hexane,25,3.56869690
isopropylamine,160,84.48713424
isopropylamine,155,80.62864426
isopropylamine,150,76.34465427
isopropylamine,145,71.60555958
isopropylamine,140,66.40987712
isopropylamine,135,60.80165225
isopropylamine,130,54.88723454
isopropylamine,125,48.83389025
isopropylamine,120,42.84472590
isopropylamine,115,37.11671219
isopropylamine,110,31.80320891
isopropylamine,105,26.99792504
isopropylamine,100,22.73789510
isopropylamine,95,19.01895895
isopropylamine,90,15.81049354
isopropylamine,85,13.06835786
isopropylamine,80,10.74272147
isopropylamine,75,8.78349180
isopropylamine,70,7.14282841
isopropylamine,65,5.77672206
isopropylamine,60,4.64553940
isopropylamine,55,3.71404681
isopropylamine,50,2.95130895
isopropylamine,45,2.33037184
isopropylamine,40,1.82791289
isopropylamine,35,1.42387911
isopropylamine,30,1.10112379
isopropylamine,25,0.84507325
methanol,160,9.78719212
methanol,155,7.66019751
methanol,150,6.05069046
methanol,145,4.80502418
methanol,140,3.82738344
methanol,135,3.05316690
methanol,130,2.43653678
methanol,125,1.94367280
methanol,120,1.54895961
methanol,115,1.23259852
methanol,110,0.97905218
methanol,105,0.77599973
methanol,100,0.61359211
methanol,95,0.48391401
methanol,90,0.38057979
methanol,85,0.29842807
methanol,80,0.23328268
methanol,75,0.18176459
methanol,70,0.14114178
methanol,65,0.10920828
methanol,60,0.08418612
methanol,55,0.06464531
methanol,50,0.04943859
methanol,45,0.03764799
methanol,40,0.02854108
methanol,35,0.02153522
methanol,30,0.01616837
methanol,25,0.01207530
methanol,160,9.78719212
methanol,155,7.66019751
methanol,150,6.05069046
methanol,145,4.80502418
methanol,140,3.82738344
methanol,135,3.05316690
methanol,130,2.43653678
methanol,125,1.94367280
methanol,120,1.54895961
methanol,115,1.23259852
methanol,110,0.97905218
methanol,105,0.77599973
methanol,100,0.61359211
methanol,95,0.48391401
methanol,90,0.38057979
methanol,85,0.29842807
methanol,80,0.23328268
methanol,75,0.18176459
methanol,70,0.14114178
methanol,65,0.10920828
methanol,60,0.08418612
methanol,55,0.06464531
methanol,50,0.04943859
methanol,45,0.03764799
methanol,40,0.02854108
methanol,35,0.02153522
methanol,30,0.01616837
methanol,25,0.01207530
methylacetate,160,79.28111483
methylacetate,155,73.30072316
methylacetate,150,65.93737703
methylacetate,145,56.74450782
methylacetate,140,45.92260446
methylacetate,135,35.44609933
methylacetate,130,27.19443532
methylacetate,125,21.14547466
methylacetate,120,16.67195691
methylacetate,115,13.28005671
methylacetate,110,10.65064326
methylacetate,105,8.57761569
methylacetate,100,6.92331602
methylacetate,95,5.59186548
methylacetate,90,4.51417733
methylacetate,85,3.63879808
methylacetate,80,2.92647644
methylacetate,75,2.34659050
methylacetate,70,1.87487085
methylacetate,65,1.49179054
methylacetate,60,1.18148525
methylacetate,55,0.93095432
methylacetate,50,0.72948268
methylacetate,45,0.56820019
methylacetate,40,0.43975026
methylacetate,35,0.33802628
methylacetate,30,0.25796256
methylacetate,25,0.19536476
butanone,160,80.74379727
butanone,155,75.75128640
butanone,150,70.07801337
butanone,145,63.66723274
butanone,140,56.58218435
butanone,135,49.10411865
butanone,130,41.72181842
butanone,125,34.92693382
butanone,120,28.99794670
butanone,115,23.98327670
butanone,110,19.80296053
butanone,105,16.33618948
butanone,100,13.46379007
butanone,95,11.08240875
butanone,90,9.10635739
butanone,85,7.46589464
butanone,80,6.10415960
butanone,75,4.97471183
butanone,70,4.03929552
butanone,65,3.26622325
butanone,60,2.62907701
butanone,55,2.10569979
butanone,50,1.67744335
butanone,45,1.32856165
butanone,40,1.04573839
butanone,35,0.81770217
butanone,30,0.63492032
butanone,25,0.48934243
ch2cl2,160,79.90854083
ch2cl2,155,75.43818077
ch2cl2,150,70.62436193
ch2cl2,145,65.41588311
ch2cl2,140,59.75701048
ch2cl2,135,53.59907735
ch2cl2,130,46.93311262
ch2cl2,125,39.86283012
ch2cl2,120,32.70676394
ch2cl2,115,26.00712838
ch2cl2,110,20.27116480
ch2cl2,105,15.68470484
ch2cl2,100,12.14008204
ch2cl2,95,9.42579277
ch2cl2,90,7.34166247
ch2cl2,85,5.73094744
ch2cl2,80,4.47779274
ch2cl2,75,3.49746961
ch2cl2,70,2.72765451
ch2cl2,65,2.12184413
ch2cl2,60,1.64479054
ch2cl2,55,1.26941778
ch2cl2,50,0.97465326
ch2cl2,45,0.74391465
ch2cl2,40,0.56404982
ch2cl2,35,0.42456030
ch2cl2,30,0.31703258
