experiment,temperature,acquisition,method,iterations,initial_samples,best_polymer,best_score,efficiency_rank,n_polymers_tested,runtime_sec,results_path
temp25_ei_versatility,25,ei,versatility,8,2,PS,0.9999999997344747,1,,3,al_sweep_results/temp_25C/method_versatility/acq_ei/temp25_ei_versatility
temp50_ei_versatility,50,ei,versatility,8,2,PS,0.9999999998667202,1,,3,al_sweep_results/temp_50C/method_versatility/acq_ei/temp50_ei_versatility
temp80_ei_versatility,80,ei,versatility,8,2,PS,0.9999999999099572,1,,3,al_sweep_results/temp_80C/method_versatility/acq_ei/temp80_ei_versatility
temp100_ei_versatility,100,ei,versatility,8,2,PS,0.9999999999274408,1,,3,al_sweep_results/temp_100C/method_versatility/acq_ei/temp100_ei_versatility
temp120_ei_versatility,120,ei,versatility,8,2,LDPE,0.9999999999437302,1,,3,al_sweep_results/temp_120C/method_versatility/acq_ei/temp120_ei_versatility
temp25_ei_versatility,25,ei,versatility,8,2,PS,0.9999999997344747,1,,3,al_sweep_results/temp_25C/method_versatility/acq_ei/temp25_ei_versatility
temp25_ucb_versatility,25,ucb,versatility,8,2,PS,0.9999999997344747,1,,3,al_sweep_results/temp_25C/method_versatility/acq_ucb/temp25_ucb_versatility
temp25_pi_versatility,25,pi,versatility,8,2,PS,0.9999999997344747,1,,3,al_sweep_results/temp_25C/method_versatility/acq_pi/temp25_pi_versatility
temp25_greedy_versatility,25,greedy,versatility,8,2,PS,0.9999999997344747,1,,3,al_sweep_results/temp_25C/method_versatility/acq_greedy/temp25_greedy_versatility
temp25_ei_versatility,25,ei,versatility,8,2,PS,0.9999999997344747,1,,3,al_sweep_results/temp_25C/method_versatility/acq_ei/temp25_ei_versatility
temp25_ei_max,25,ei,max,8,2,EVOH,0.999999999999,1,,3,al_sweep_results/temp_25C/method_max/acq_ei/temp25_ei_max
temp25_ei_mean,25,ei,mean,8,2,EVOH,0.9999999999689418,1,,3,al_sweep_results/temp_25C/method_mean/acq_ei/temp25_ei_mean
temp25_ei_count_thresh5,25,ei,count,8,2,PS,0.9999999999875,1,,3,al_sweep_results/temp_25C/method_count/acq_ei/temp25_ei_count_thresh5
temp25_ei_count_thresh10,25,ei,count,8,2,EVOH,0.99999999995,1,,3,al_sweep_results/temp_25C/method_count/acq_ei/temp25_ei_count_thresh10
temp25_ei_count_thresh20,25,ei,count,8,2,EVOH,0.9999999999,1,,2,al_sweep_results/temp_25C/method_count/acq_ei/temp25_ei_count_thresh20
temp25_ei_specific_propanol,25,ei,specific,8,2,PVC,0.9999999993148838,1,,3,al_sweep_results/temp_25C/method_specific/acq_ei/temp25_ei_specific_propanol
temp25_ei_specific_2-propanol,25,ei,specific,8,2,PVC,0.999999999343029,1,,3,al_sweep_results/temp_25C/method_specific/acq_ei/temp25_ei_specific_2-propanol
temp25_ei_specific_acetone,25,ei,specific,8,2,HDPE,0.0,1,,2,al_sweep_results/temp_25C/method_specific/acq_ei/temp25_ei_specific_acetone
temp25_ei_specific_toluene,25,ei,specific,8,2,PS,0.999999999972546,1,,4,al_sweep_results/temp_25C/method_specific/acq_ei/temp25_ei_specific_toluene
temp25_ei_specific_chloroform,25,ei,specific,8,2,PP-LMW,0.0,1,,2,al_sweep_results/temp_25C/method_specific/acq_ei/temp25_ei_specific_chloroform
temp25_ei_specific_THF,25,ei,specific,8,2,PVC,0.0,1,,2,al_sweep_results/temp_25C/method_specific/acq_ei/temp25_ei_specific_THF
temp25_ei_specific_water,25,ei,specific,8,2,PS,0.0,1,,3,al_sweep_results/temp_25C/method_specific/acq_ei/temp25_ei_specific_water
temp25_ei_versatility_iter3,25,ei,versatility,3,2,PVC,0.9150206375310016,2,,1,al_sweep_results/temp_25C/method_versatility/acq_ei/temp25_ei_versatility_iter3
temp25_ei_versatility_iter5,25,ei,versatility,5,2,PS,0.9999999997344747,1,,2,al_sweep_results/temp_25C/method_versatility/acq_ei/temp25_ei_versatility_iter5
temp25_ei_versatility_iter8,25,ei,versatility,8,2,PS,0.9999999997344747,1,,3,al_sweep_results/temp_25C/method_versatility/acq_ei/temp25_ei_versatility_iter8
temp25_ei_versatility_iter10,25,ei,versatility,10,2,PS,0.9999999997344747,1,,3,al_sweep_results/temp_25C/method_versatility/acq_ei/temp25_ei_versatility_iter10
temp25_ei_versatility_iter15,25,ei,versatility,15,2,PS,0.9999999997344747,1,,3,al_sweep_results/temp_25C/method_versatility/acq_ei/temp25_ei_versatility_iter15
temp25_ei_versatility_init1,25,ei,versatility,8,1,PS,0.9999999997344747,1,,3,al_sweep_results/temp_25C/method_versatility/acq_ei/temp25_ei_versatility_init1
temp25_ei_versatility_init2,25,ei,versatility,8,2,PS,0.9999999997344747,1,,3,al_sweep_results/temp_25C/method_versatility/acq_ei/temp25_ei_versatility_init2
temp25_ei_versatility_init3,25,ei,versatility,8,3,PS,0.9999999997344747,1,,3,al_sweep_results/temp_25C/method_versatility/acq_ei/temp25_ei_versatility_init3
temp25_ei_versatility_init4,25,ei,versatility,8,4,PS,0.9999999997344747,1,,3,al_sweep_results/temp_25C/method_versatility/acq_ei/temp25_ei_versatility_init4
temp100_ei_versatility,100,ei,versatility,8,2,PS,0.9999999999274408,1,,3,al_sweep_results/temp_100C/method_versatility/acq_ei/temp100_ei_versatility
temp100_ucb_versatility,100,ucb,versatility,8,2,PS,0.9999999999274408,1,,2,al_sweep_results/temp_100C/method_versatility/acq_ucb/temp100_ucb_versatility
temp120_ei_versatility,120,ei,versatility,8,2,LDPE,0.9999999999437302,1,,4,al_sweep_results/temp_120C/method_versatility/acq_ei/temp120_ei_versatility
temp120_ucb_versatility,120,ucb,versatility,8,2,LDPE,0.9999999999437302,1,,3,al_sweep_results/temp_120C/method_versatility/acq_ucb/temp120_ucb_versatility
temp140_ei_versatility,140,ei,versatility,8,2,HDPE,0.999999999961142,1,,3,al_sweep_results/temp_140C/method_versatility/acq_ei/temp140_ei_versatility
temp140_ucb_versatility,140,ucb,versatility,8,2,HDPE,0.999999999961142,1,,3,al_sweep_results/temp_140C/method_versatility/acq_ucb/temp140_ucb_versatility
temp160_ei_versatility,160,ei,versatility,8,2,LDPE,0.9999999999519293,1,,4,al_sweep_results/temp_160C/method_versatility/acq_ei/temp160_ei_versatility
temp160_ucb_versatility,160,ucb,versatility,8,2,HDPE,0.9999999999519293,1,,3,al_sweep_results/temp_160C/method_versatility/acq_ucb/temp160_ucb_versatility
best_practice_ei_comprehensive,25,ei,versatility,12,3,PS,0.9999999997344747,1,,3,al_sweep_results/temp_25C/method_versatility/acq_ei/best_practice_ei_comprehensive
best_practice_ucb_exploration,25,ucb,versatility,12,3,PS,0.9999999997344747,1,,3,al_sweep_results/temp_25C/method_versatility/acq_ucb/best_practice_ucb_exploration
best_practice_midtemp_ei,80,ei,versatility,10,3,PS,0.9999999999099572,1,,3,al_sweep_results/temp_80C/method_versatility/acq_ei/best_practice_midtemp_ei
