polymer,smiles,group,pca1,pca2,umap1,umap2
EVOH,CC(O),base,-0.3371527979439487,-0.9336697933144387,9.557934,5.5782537
HDPE,CC,base,-0.8546987758452477,-0.9293216824520306,10.909958,6.716357
LDPE,CC,base,-0.8546987758452468,-0.9293216824520306,10.7920475,6.120017
Nylon6,NCCCCCC(=O),base,1.310690815664074,-0.5412129905098751,6.5393524,7.7637033
Nylon66,NCCCCCCNC(=O)CCCCC(=O),base,2.563746301123781,-0.17783756113030647,6.0210485,7.642035
PC,CC(C)(c1ccc(OC(=O)Oc2ccc(C(C)(C)c3ccc(O)cc3)cc2)cc1),base,-2.1298243636042886,3.6306640905887186,8.3047285,8.2235365
PET,O=C(c1ccc(C(=O)OCCO)cc1),base,1.7265993497746264,2.1950414763351866,7.488131,7.727727
PETG,O=C(c1ccc(C(=O)OCC(O)CO)cc1),base,1.6659889584830667,2.5944601733846326,6.8215013,7.3179727
PP,CC(C),base,-0.6215402942029616,-1.14921224846844,10.340513,5.4592752
PS,CC(c1ccccc1),base,-0.9569354567432042,-0.27092810650222504,9.185964,7.2134047
PVC,CC(Cl),base,-0.29509890915845854,-1.117897888884798,10.576585,5.08914
PVDF,CC(F)F,base,-1.1247882573857237,-0.5698047837447734,10.296318,7.1166925
Polysulfone,O=S(=O)(c1ccc(Oc2ccc(C(C)(C)c3ccc(O)cc3)cc2)cc1)c4ccc(O)cc4,base,-2.1981734852334873,3.1494596501177083,9.198298,7.9413686
Polyurethane,CCCCCCNC(=O)OCCCCOC(=O)N,base,3.2073123737209572,0.21115682029749305,6.2213683,7.451301
CA,CC(=O)OC[C@H]1O[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,dissolved_new,0.22848922489776116,0.2967570795599087,7.3094187,8.796816
PAA,CC(C(=O)O),dissolved_new,-0.19103400769796858,-0.6393226758170717,8.490311,6.1372275
PAAm,CC(C(=O)N),dissolved_new,0.25192268506827603,-0.5598975665732873,7.976824,6.5898156
PDMS,C[Si](C)(C)O[Si](C)(C)C,dissolved_new,-0.8343604969455388,-0.7137364277122529,11.471608,6.4279056
PEI,NCCN,dissolved_new,0.06378731645880298,-0.8906519977306971,11.166999,5.340934
PEO/PEG,OCCO,dissolved_new,-0.21402747855529403,-0.6416870488802924,9.454775,5.842366
PLA,CC(O)C(=O),dissolved_new,-0.4439412580453121,-0.012423522862934666,7.8285375,8.931159
PU-ester,CCCCOC(=O)NCCCCCCNC(=O)OCCCCOC(=O)N,dissolved_new,3.053135660208848,0.2548572627541018,6.4082747,8.337915
PVAc,CC(OC(=O)C),dissolved_new,0.24687626932612358,0.18420511992702276,6.9939675,8.631062
PVB,CC(O)CC(c1ccccc1),dissolved_new,-1.0903744233050203,0.28453038807459047,8.422858,8.223586
Nitrocellulose,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],dissolved_orig,-0.30460773964884685,0.028924117086273127,8.482576,7.451006
PAN,CC(C#N),dissolved_orig,-0.7132010223423448,-1.294528254714552,10.541444,4.6931562
PMMA,CC(C)(C(=O)OC),dissolved_orig,0.05484370403383732,0.273162837028044,7.6519837,8.532183
PVA,CC(O),dissolved_orig,-0.3371527979439487,-0.9336697933144387,9.41234,5.422299
PVP,CC(N1CCCC1=O),dissolved_orig,-0.8717823183133098,-0.7980949900892332,10.160602,4.5054374
