Solvent,Temperature (°C),Solubility (%)
propanol,160,99.99546080
propanol,155,99.98915941
propanol,150,99.97519755
propanol,145,99.99980180
propanol,140,96.81925961
propanol,135,77.49259376
propanol,130,49.55944946
propanol,125,31.68410362
propanol,120,21.42853006
propanol,115,14.95175889
propanol,110,10.60310738
propanol,105,7.57961660
propanol,100,5.43489361
propanol,95,3.89638795
propanol,90,2.78661038
propanol,85,1.98474960
propanol,80,1.40599804
propanol,75,0.98959156
propanol,70,0.69141025
propanol,65,0.47917057
propanol,60,0.32916891
propanol,55,0.22399759
propanol,50,0.15090299
propanol,45,0.10058238
propanol,40,0.06629102
propanol,35,0.04317480
propanol,30,0.02776984
propanol,25,0.01762771
2-propanol,160,99.99900620
2-propanol,155,99.99743405
2-propanol,150,99.99355529
2-propanol,145,99.98447440
2-propanol,140,96.85729306
2-propanol,135,78.74696087
2-propanol,130,52.37347885
2-propanol,125,33.78300555
2-propanol,120,22.84377733
2-propanol,115,15.92162020
2-propanol,110,11.27997228
2-propanol,105,8.05756915
2-propanol,100,5.77454757
2-propanol,95,4.13835282
2-propanol,90,2.95890263
2-propanol,85,2.10710558
2-propanol,80,1.49251060
2-propanol,75,1.05040798
2-propanol,70,0.73386671
2-propanol,65,0.50857481
2-propanol,60,0.34935401
2-propanol,55,0.23772070
2-propanol,50,0.16013600
2-propanol,45,0.10672544
2-propanol,40,0.07032995
2-propanol,35,0.04579707
2-propanol,30,0.02944984
2-propanol,25,0.01868902
propanone,160,99.99870977
propanone,155,99.99805819
propanone,150,99.99706304
propanone,145,99.99554291
propanone,140,97.20427321
propanone,135,84.78415403
propanone,130,65.34310102
propanone,125,42.79448614
propanone,120,28.36889120
propanone,115,19.71472549
propanone,110,14.05638281
propanone,105,10.14676264
propanone,100,7.36128252
propanone,95,5.34362351
propanone,90,3.87015826
propanone,85,2.79105507
propanone,80,2.00131879
propanone,75,1.42520459
propanone,70,1.00703763
propanone,65,0.70546646
propanone,60,0.48962362
propanone,55,0.33645043
propanone,50,0.22876222
propanone,45,0.15381200
propanone,40,0.10220638
propanone,35,0.06707846
propanone,30,0.04345436
propanone,25,0.02776809
acetylacetone,160,99.99846756
