Solvent,Temperature (°C),Solubility (%)
propanol,160,25.54005687
propanol,155,19.58853239
propanol,150,14.54654974
propanol,145,10.51295969
propanol,140,7.43135799
propanol,135,5.15896118
propanol,130,3.52772631
propanol,125,2.38083856
propanol,120,1.58785144
propanol,115,1.04726102
propanol,110,0.68334564
propanol,105,0.44121791
propanol,100,0.28192178
propanol,95,0.17826879
propanol,90,0.11155498
propanol,85,0.06908132
propanol,80,0.04233313
propanol,75,0.02567073
propanol,70,0.01540365
propanol,65,0.00914584
propanol,60,0.00537304
propanol,55,0.00312312
propanol,50,0.00179595
propanol,45,0.00102163
propanol,40,0.00057481
propanol,35,0.00031982
propanol,30,0.00017593
propanol,25,0.00009566
2-propanol,160,27.31894713
2-propanol,155,21.13942699
2-propanol,150,15.80588312
2-propanol,145,11.47839149
2-propanol,140,8.13993549
2-propanol,135,5.66262230
2-propanol,130,3.87733148
2-propanol,125,2.61912672
2-propanol,120,1.74788577
2-propanol,115,1.15338354
2-propanol,110,0.75291102
2-propanol,105,0.48632460
2-propanol,100,0.31086060
2-propanol,95,0.19664100
2-propanol,90,0.12309714
2-propanol,85,0.07625655
2-propanol,80,0.04674650
2-propanol,75,0.02835633
2-propanol,70,0.01702019
2-propanol,65,0.01010817
2-propanol,60,0.00593950
2-propanol,55,0.00345273
2-propanol,50,0.00198549
2-propanol,45,0.00112929
2-propanol,40,0.00063520
2-propanol,35,0.00035325
2-propanol,30,0.00019419
2-propanol,25,0.00010549
propanone,160,100.00000000
propanone,155,100.00000000
propanone,150,100.00000000
propanone,145,56.66741527
propanone,140,54.30177918
propanone,135,51.88388041
propanone,130,49.41633262
propanone,125,46.90482526
propanone,120,44.35686628
propanone,115,41.77772882
propanone,110,39.17686890
propanone,105,36.56178233
propanone,100,33.94303877
propanone,95,31.33179991
propanone,90,28.73943145
propanone,85,26.17875006
propanone,80,23.66330565
propanone,75,21.20970894
propanone,70,18.83241606
propanone,65,16.54878041
propanone,60,14.37532870
propanone,55,12.33025615
propanone,50,10.43008480
propanone,45,8.69015010
propanone,40,7.12334269
propanone,35,5.73858287
propanone,30,4.53989155
propanone,25,3.52511319
acetylacetone,160,31.06335945
acetylacetone,155,27.48985925
acetylacetone,150,24.07926703
acetylacetone,145,20.87172445
acetylacetone,140,17.89970224
acetylacetone,135,15.18669050
acetylacetone,130,12.74687249
acetylacetone,125,10.58494191
acetylacetone,120,8.69703816
acetylacetone,115,7.07180546
acetylacetone,110,5.69205000
acetylacetone,105,4.53633260
acetylacetone,100,3.58071088
acetylacetone,95,2.80021908
acetylacetone,90,2.17018413
acetylacetone,85,1.66721897
acetylacetone,80,1.26990577
acetylacetone,75,0.95918311
acetylacetone,70,0.71850085
acetylacetone,65,0.53378795
acetylacetone,60,0.39329813
acetylacetone,55,0.28738204
acetylacetone,50,0.20822530
acetylacetone,45,0.14958051
acetylacetone,40,0.10651166
acetylacetone,35,0.07516153
acetylacetone,30,0.05254721
acetylacetone,25,0.03638504
benzene,160,55.25472223
benzene,155,52.79567649
benzene,150,50.28324313
benzene,145,47.72014894
benzene,140,45.10844321
benzene,135,42.45363521
benzene,130,39.76353042
benzene,125,37.04335732
benzene,120,34.30427200
benzene,115,31.55426876
benzene,110,28.80920221
benzene,105,26.08353917
benzene,100,23.39530455
benzene,95,20.76526444
benzene,90,18.21698123
benzene,85,15.77551021
benzene,80,13.46746518
benzene,75,11.31914649
benzene,70,9.35472459
