Solvent,Temperature (°C),Solubility (%)
propanol,160,13.63828284
propanol,155,10.10739242
propanol,150,7.32095091
propanol,145,5.19720413
propanol,140,3.62499120
propanol,135,2.48891329
propanol,130,1.68452314
propanol,125,1.12488262
propanol,120,0.74155164
propanol,115,0.48272931
propanol,110,0.31033827
propanol,105,0.19702476
propanol,100,0.12351127
propanol,95,0.07643887
propanol,90,0.04669270
propanol,85,0.02814521
propanol,80,0.01673658
propanol,75,0.00981552
propanol,70,0.00567565
propanol,65,0.00323472
propanol,60,0.00181647
propanol,55,0.00100470
propanol,50,0.00054713
propanol,45,0.00029322
propanol,40,0.00015459
propanol,35,0.00008013
propanol,30,0.00004081
propanol,25,0.00002041
2-propanol,160,13.97517651
2-propanol,155,10.36162527
2-propanol,150,7.50464612
2-propanol,145,5.32520479
2-propanol,140,3.71150830
2-propanol,135,2.54587240
2-propanol,130,1.72114121
2-propanol,125,1.14789716
2-propanol,120,0.75569304
2-propanol,115,0.49121608
2-propanol,110,0.31530312
2-propanol,105,0.19984732
2-propanol,100,0.12506338
2-propanol,95,0.07725848
2-propanol,90,0.04710341
2-propanol,85,0.02833632
2-propanol,80,0.01681535
2-propanol,75,0.00984053
2-propanol,70,0.00567744
2-propanol,65,0.00322828
2-propanol,60,0.00180854
2-propanol,55,0.00099785
2-propanol,50,0.00054201
2-propanol,45,0.00028972
2-propanol,40,0.00015232
2-propanol,35,0.00007873
2-propanol,30,0.00003998
2-propanol,25,0.00001994
propanone,160,44.39609881
propanone,155,41.19017605
propanone,150,37.97567406
propanone,145,34.77151402
propanone,140,31.59335550
propanone,135,28.46141166
propanone,130,25.39826187
propanone,125,22.42733765
propanone,120,19.57368752
propanone,115,16.86463618
propanone,110,14.32666473
propanone,105,11.98524180
propanone,100,9.86243062
propanone,95,7.97537798
propanone,90,6.33349550
propanone,85,4.93745908
propanone,80,3.77874774
propanone,75,2.84010217
propanone,70,2.09773665
propanone,65,1.52389433
propanone,60,1.08974475
propanone,55,0.76774569
propanone,50,0.53324883
propanone,45,0.36532833
propanone,40,0.24695300
propanone,35,0.16473194
propanone,30,0.10843101
propanone,25,0.07041321
acetylacetone,160,14.23691545
acetylacetone,155,11.65899660
acetylacetone,150,9.42748626
acetylacetone,145,7.52899735
acetylacetone,140,5.94081752
acetylacetone,135,4.63359144
acetylacetone,130,3.57405122
acetylacetone,125,2.72762278
acetylacetone,120,2.06054173
acetylacetone,115,1.54141675
acetylacetone,110,1.14217998
acetylacetone,105,0.83853925
acetylacetone,100,0.61002608
acetylacetone,95,0.43978040
acetylacetone,90,0.31418048
acetylacetone,85,0.22240354
acetylacetone,80,0.15597682
acetylacetone,75,0.10835449
acetylacetone,70,0.07454071
acetylacetone,65,0.05076585
acetylacetone,60,0.03421650
acetylacetone,55,0.02281511
acetylacetone,50,0.01504368
acetylacetone,45,0.00980475
acetylacetone,40,0.00631335
acetylacetone,35,0.00401419
acetylacetone,30,0.00251890
acetylacetone,25,0.00155897
benzene,160,32.85841146
benzene,155,29.46494898
benzene,150,26.15050848
benzene,145,22.94519162
benzene,140,19.88032063
benzene,135,16.98842553
benzene,130,14.30121047
benzene,125,11.84741272
benzene,120,9.64989381
benzene,115,7.72315997
benzene,110,6.07185496
benzene,105,4.68934706
benzene,100,3.55896299
benzene,95,2.65588993
benzene,90,1.95022830
benzene,85,1.41018621
benzene,80,1.00481048
benzene,75,0.70591988
benzene,70,0.48917619
benzene,65,0.33443641
benzene,60,0.22559279
benzene,55,0.15012625
benzene,50,0.09853774
benzene,45,0.06376822
benzene,40,0.04066827
benzene,35,0.02554517
benzene,30,0.01579350
benzene,25,0.00960382
chcl3,160,24.60410523
chcl3,155,22.14186787
chcl3,150,19.82799248
chcl3,145,17.66442310
chcl3,140,15.65289673
chcl3,135,13.79388209
chcl3,130,12.08584353
chcl3,125,10.52647854
chcl3,120,9.11231195
chcl3,115,7.83870597
chcl3,110,6.70037813
chcl3,105,5.69061836
chcl3,100,4.80220346
chcl3,95,4.02706727
chcl3,90,3.35645923
chcl3,85,2.78126228
chcl3,80,2.29206425
chcl3,75,1.87948419
chcl3,70,1.53428313
chcl3,65,1.24762284
chcl3,60,1.01123576
chcl3,55,0.81754182
chcl3,50,0.65972204
chcl3,45,0.53176509
chcl3,40,0.42845295
chcl3,35,0.34532886
chcl3,30,0.27863280
chcl3,25,0.22523059
cyclohexane,160,1.09525762
cyclohexane,155,0.78667973
cyclohexane,150,0.56156169
cyclohexane,145,0.39808641
cyclohexane,140,0.28005072
cyclohexane,135,0.19538982
cyclohexane,130,0.13511970
cyclohexane,125,0.09256470
cyclohexane,120,0.06278400
cyclohexane,115,0.04214052
cyclohexane,110,0.02797496
cyclohexane,105,0.01835805
cyclohexane,100,0.01190242
cyclohexane,95,0.00761996
cyclohexane,90,0.00481422
cyclohexane,85,0.00299980
cyclohexane,80,0.00184237
cyclohexane,75,0.00111452
cyclohexane,70,0.00066362
cyclohexane,65,0.00038864
cyclohexane,60,0.00022368
cyclohexane,55,0.00012641
cyclohexane,50,0.00007009
cyclohexane,45,0.00003809
cyclohexane,40,0.00002027
cyclohexane,35,0.00001055
cyclohexane,30,0.00000536
cyclohexane,25,0.00000266
cyclohexanol,160,5.01645599
cyclohexanol,155,3.61274754
cyclohexanol,150,2.57156881
cyclohexanol,145,1.81002701
cyclohexanol,140,1.26002572
cyclohexanol,135,0.86750828
cyclohexanol,130,0.59060992
cyclohexanol,125,0.39751600
cyclohexanol,120,0.26442616
cyclohexanol,115,0.17378191
cyclohexanol,110,0.11279798
cyclohexanol,105,0.07228312
cyclohexanol,100,0.04571428
cyclohexanol,95,0.02852244
cyclohexanol,90,0.01755016
cyclohexanol,85,0.01064570
cyclohexanol,80,0.00636361
cyclohexanol,75,0.00374716
cyclohexanol,70,0.00217270
cyclohexanol,65,0.00124000
cyclohexanol,60,0.00069626
cyclohexanol,55,0.00038447
cyclohexanol,50,0.00020868
cyclohexanol,45,0.00011127
cyclohexanol,40,0.00005826
cyclohexanol,35,0.00002993
cyclohexanol,30,0.00001508
cyclohexanol,25,0.00000745
"2,3-dihydropyran",160,27.20396541
"2,3-dihydropyran",155,23.77500142
"2,3-dihydropyran",150,20.51102855
"2,3-dihydropyran",145,17.44917187
"2,3-dihydropyran",140,14.62435291
"2,3-dihydropyran",135,12.06550853
"2,3-dihydropyran",130,9.79336308
"2,3-dihydropyran",125,7.81839552
"2,3-dihydropyran",120,6.13907035
"2,3-dihydropyran",115,4.74260056
"2,3-dihydropyran",110,3.60649125
"2,3-dihydropyran",105,2.70143156
"2,3-dihydropyran",100,1.99458983
"2,3-dihydropyran",95,1.45265433
"2,3-dihydropyran",90,1.04418632
"2,3-dihydropyran",85,0.74114365
"2,3-dihydropyran",80,0.51960329
"2,3-dihydropyran",75,0.35987993
"2,3-dihydropyran",70,0.24624571
"2,3-dihydropyran",65,0.16644011
"2,3-dihydropyran",60,0.11110380
"2,3-dihydropyran",55,0.07322200
"2,3-dihydropyran",50,0.04762316
"2,3-dihydropyran",45,0.03055255
"2,3-dihydropyran",40,0.01932360
"2,3-dihydropyran",35,0.01204122
"2,3-dihydropyran",30,0.00738753
"2,3-dihydropyran",25,0.00445914
dimethylformamide,160,39.83106639
dimethylformamide,155,36.94702609
dimethylformamide,150,34.10709517
dimethylformamide,145,31.31764783
dimethylformamide,140,28.59092222
dimethylformamide,135,25.93725541
dimethylformamide,130,23.36647481
dimethylformamide,125,20.89048601
dimethylformamide,120,18.52086789
dimethylformamide,115,16.26926947
dimethylformamide,110,14.14751849
dimethylformamide,105,12.16783596
dimethylformamide,100,10.34035522
dimethylformamide,95,8.67456551
dimethylformamide,90,7.17738722
dimethylformamide,85,5.85300758
dimethylformamide,80,4.70138165
dimethylformamide,75,3.71832580
dimethylformamide,70,2.89538691
dimethylformamide,65,2.21999362
dimethylformamide,60,1.67661124
dimethylformamide,55,1.24783628
dimethylformamide,50,0.91572590
dimethylformamide,45,0.66296914
dimethylformamide,40,0.47375307
dimethylformamide,35,0.33427649
dimethylformamide,30,0.23295010
dimethylformamide,25,0.16035057
dimethylsulfoxide,160,24.69679228
dimethylsulfoxide,155,22.09077936
dimethylsulfoxide,150,19.64976552
dimethylsulfoxide,145,17.37223841
dimethylsulfoxide,140,15.25619905
dimethylsulfoxide,135,13.29994861
dimethylsulfoxide,130,11.50223789
dimethylsulfoxide,125,9.86127996
dimethylsulfoxide,120,8.37524572
dimethylsulfoxide,115,7.04151497
dimethylsulfoxide,110,5.85670576
dimethylsulfoxide,105,4.81636770
