Solvent,Temperature (°C),Solubility (%),Polymer
propanol,160,61.6273399,PS
propanol,155,54.86706415,PS
propanol,150,47.34568086,PS
propanol,145,39.53130216,PS
propanol,140,32.0288821,PS
propanol,135,25.3281035,PS
propanol,130,19.66739036,PS
propanol,125,15.06729369,PS
propanol,120,11.42575835,PS
propanol,115,8.59406868,PS
propanol,110,6.4198467,PS
propanol,105,4.76635951,PS
propanol,100,3.51854796,PS
propanol,95,2.5831313,PS
propanol,90,1.88612916,PS
propanol,85,1.36975347,PS
propanol,80,0.98934082,PS
propanol,75,0.71065207,PS
propanol,70,0.50762848,PS
propanol,65,0.36056203,PS
propanol,60,0.25463842,PS
propanol,55,0.17878871,PS
propanol,50,0.12479219,PS
propanol,45,0.08658043,PS
propanol,40,0.05970142,PS
propanol,35,0.04090927,PS
propanol,30,0.02785226,PS
propanol,25,0.01883732,PS
2-propanol,160,63.38665904,PS
2-propanol,155,57.10046761,PS
2-propanol,150,49.98109295,PS
2-propanol,145,42.35849708,PS
2-propanol,140,34.77463533,PS
2-propanol,135,27.7775819,PS
2-propanol,130,21.71953448,PS
2-propanol,125,16.71490936,PS
2-propanol,120,12.71185932,PS
2-propanol,115,9.57929276,PS
2-propanol,110,7.16479515,PS
2-propanol,105,5.32426914,PS
2-propanol,100,3.93324034,PS
2-propanol,95,2.88941591,PS
2-propanol,90,2.11104818,PS
2-propanol,85,1.53402261,PS
2-propanol,80,1.10866825,PS
2-propanol,75,0.79686304,PS
2-propanol,70,0.56956662,PS
2-propanol,65,0.40480473,PS
2-propanol,60,0.28605155,PS
2-propanol,55,0.20095296,PS
2-propanol,50,0.14032831,PS
2-propanol,45,0.097396,PS
2-propanol,40,0.06717683,PS
2-propanol,35,0.04603735,PS
2-propanol,30,0.03134253,PS
2-propanol,25,0.02119342,PS
propanone,160,100,PS
propanone,155,100,PS
propanone,150,73.29350496,PS
propanone,145,71.01096177,PS
propanone,140,68.62880403,PS
propanone,135,66.14970578,PS
propanone,130,63.57761658,PS
propanone,125,60.91763579,PS
propanone,120,58.17749172,PS
propanone,115,55.36624377,PS
propanone,110,52.49583202,PS
propanone,105,49.57894542,PS
propanone,100,46.63001257,PS
propanone,95,43.66459678,PS
propanone,90,40.69904286,PS
propanone,85,37.75011428,PS
propanone,80,34.8346486,PS
propanone,75,31.96948379,PS
propanone,70,29.17019218,PS
propanone,65,26.45238472,PS
propanone,60,23.83121637,PS
propanone,55,21.31941991,PS
propanone,50,18.93023303,PS
propanone,45,16.67465916,PS
propanone,40,14.56239562,PS
propanone,35,12.60194954,PS
propanone,30,10.79995178,PS
propanone,25,9.16066148,PS
acetylacetone,160,57.15028622,PS
acetylacetone,155,52.76489147,PS
acetylacetone,150,48.23595325,PS
acetylacetone,145,43.64554476,PS
acetylacetone,140,39.09056413,PS
