Solvent,Temperature (°C),Solubility (%)
propanol,160,43.04393172
propanol,155,38.68041220
propanol,150,34.39900651
propanol,145,30.27483465
propanol,140,26.37430058
propanol,135,22.75045111
propanol,130,19.43992520
propanol,125,16.46284142
propanol,120,13.82412328
propanol,115,11.51606426
propanol,110,9.52138644
propanol,105,7.81632998
propanol,100,6.37330399
propanol,95,5.16315096
propanol,90,4.15680489
propanol,85,3.32646666
propanol,80,2.64636799
propanol,75,2.09317884
propanol,70,1.64619386
propanol,65,1.28732675
propanol,60,1.00099285
propanol,55,0.77392062
propanol,50,0.59492562
propanol,45,0.45467035
propanol,40,0.34542599
propanol,35,0.26084632
propanol,30,0.19575948
propanol,25,0.14598107
2-propanol,160,43.87243232
2-propanol,155,39.51825394
2-propanol,150,35.22487298
2-propanol,145,31.06893358
2-propanol,140,27.12012393
2-propanol,135,23.43585620
2-propanol,130,20.05746132
2-propanol,125,17.00943213
2-propanol,120,14.30033787
2-propanol,115,11.92520837
2-propanol,110,9.86859369
2-propanol,105,8.10777445
2-propanol,100,6.61556842
2-propanol,95,5.36277453
2-propanol,90,4.31998099
2-propanol,85,3.45886347
2-propanol,80,2.75304245
2-propanol,75,2.17855212
2-propanol,70,1.71407101
2-propanol,65,1.34094046
2-propanol,60,1.04306012
2-propanol,55,0.80670413
2-propanol,50,0.62029451
2-propanol,45,0.47415740
2-propanol,40,0.36027949
2-propanol,35,0.27207610
2-propanol,30,0.20417695
2-propanol,25,0.15223367
propanone,160,63.72391788
propanone,155,61.60564505
propanone,150,59.46193111
propanone,145,57.29690243
propanone,140,55.11382769
propanone,135,52.91715478
propanone,130,50.71089624
propanone,125,48.50018963
propanone,120,46.28942957
propanone,115,44.08343259
propanone,110,41.88713411
propanone,105,39.70556747
propanone,100,37.54410875
propanone,95,35.40733338
propanone,90,33.30075113
propanone,85,31.22955592
propanone,80,29.19873723
propanone,75,27.21380106
propanone,70,25.27965951
propanone,65,23.40078876
propanone,60,21.58199083
propanone,55,19.82806240
propanone,50,18.14307570
propanone,45,16.53046547
propanone,40,14.99432143
propanone,35,13.53740416
propanone,30,12.16225415
propanone,25,10.87095123
acetylacetone,160,43.40761790
acetylacetone,155,40.68333610
acetylacetone,150,38.01523488
acetylacetone,145,35.41275510
acetylacetone,140,32.88463695
acetylacetone,135,30.43881902
acetylacetone,130,28.08235972
acetylacetone,125,25.82138018
acetylacetone,120,23.66102738
acetylacetone,115,21.60545566
acetylacetone,110,19.65782471
acetylacetone,105,17.82031197
acetylacetone,100,16.09410757
acetylacetone,95,14.47958076
acetylacetone,90,12.97611401
acetylacetone,85,11.58231205
acetylacetone,80,10.29602157
acetylacetone,75,9.11439990
acetylacetone,70,8.03398931
acetylacetone,65,7.05079573
acetylacetone,60,6.16037909
acetylacetone,55,5.35790065
acetylacetone,50,4.63826928
acetylacetone,45,3.99617735
acetylacetone,40,3.42619564
acetylacetone,35,2.92285002
acetylacetone,30,2.48069251
acetylacetone,25,2.09436588
benzene,160,48.12412116
benzene,155,45.00667113
benzene,150,41.88884303
