Solvent,Temperature (°C),Solubility (%)
propanol,160,18.26993444
propanol,155,15.61805679
propanol,150,13.20544572
propanol,145,11.04336755
propanol,140,9.13526358
propanol,135,7.47678490
propanol,130,6.05657836
propanol,125,4.85774479
propanol,120,3.85947212
propanol,115,3.03879131
propanol,110,2.37211948
propanol,105,1.83653759
propanol,100,1.41068164
propanol,95,1.07531168
propanol,90,0.81357196
propanol,85,0.61103204
propanol,80,0.45557482
propanol,75,0.33719203
propanol,70,0.24773385
propanol,65,0.18064622
propanol,60,0.13071658
propanol,55,0.09384097
propanol,50,0.06681841
propanol,45,0.04717413
propanol,40,0.03301102
propanol,35,0.02288683
propanol,30,0.01571408
propanol,25,0.01067958
2-propanol,160,18.04849603
2-propanol,155,15.37907452
2-propanol,150,12.95501280
2-propanol,145,10.78828635
2-propanol,140,8.88225663
2-propanol,135,7.23200092
2-propanol,130,5.82519034
2-propanol,125,4.64365317
2-propanol,120,3.66526186
2-propanol,115,2.86576963
2-propanol,110,2.22049880
2-propanol,105,1.70566131
2-propanol,100,1.29926852
2-propanol,95,0.98167732
2-propanol,90,0.73581734
2-propanol,85,0.54719111
2-propanol,80,0.40372202
2-propanol,75,0.29551473
2-propanol,70,0.21457679
2-propanol,65,0.15453378
2-propanol,60,0.11035949
2-propanol,55,0.07813215
2-propanol,50,0.05482176
2-propanol,45,0.03810921
2-propanol,40,0.02623575
2-propanol,35,0.01787963
2-propanol,30,0.01205652
2-propanol,25,0.00804011
propanone,160,21.05714588
propanone,155,18.26824908
propanone,150,15.67439995
propanone,145,13.29457238
propanone,140,11.14274298
propanone,135,9.22647058
propanone,130,7.54664296
propanone,125,6.09751859
propanone,120,4.86730513
propanone,115,3.83929102
propanone,110,2.99332348
propanone,105,2.30737907
propanone,100,1.75898232
propanone,95,1.32640762
propanone,90,0.98954221
propanone,85,0.73041351
propanone,80,0.53343380
propanone,75,0.38541939
propanone,70,0.27545893
propanone,65,0.19469105
propanone,60,0.13603969
propanone,55,0.09394021
propanone,50,0.06407853
propanone,45,0.04315512
propanone,40,0.02867944
propanone,35,0.01879595
propanone,30,0.01214024
propanone,25,0.00772237
acetylacetone,160,5.19291492
acetylacetone,155,4.15634674
acetylacetone,150,3.30164115
acetylacetone,145,2.60319992
acetylacetone,140,2.03734004
acetylacetone,135,1.58268344
acetylacetone,130,1.22032022
acetylacetone,125,0.93380727
acetylacetone,120,0.70905523
acetylacetone,115,0.53414660
acetylacetone,110,0.39911722
acetylacetone,105,0.29572424
acetylacetone,100,0.21721633
acetylacetone,95,0.15811616
acetylacetone,90,0.11402089
acetylacetone,85,0.08142364
acetylacetone,80,0.05755667
acetylacetone,75,0.04025582
acetylacetone,70,0.02784491
acetylacetone,65,0.01903841
acetylacetone,60,0.01286039
acetylacetone,55,0.00857773
acetylacetone,50,0.00564585
acetylacetone,45,0.00366482
acetylacetone,40,0.00234452
acetylacetone,35,0.00147717
acetylacetone,30,0.00091593
acetylacetone,25,0.00055847
benzene,160,9.20470138
benzene,155,7.41570398
benzene,150,5.90802520
benzene,145,4.65668081
benzene,140,3.63271324
benzene,135,2.80574731
benzene,130,2.14599970
benzene,125,1.62566460
benzene,120,1.21973401
benzene,115,0.90636606
benzene,110,0.66692978
benzene,105,0.48584109
benzene,100,0.35028015
benzene,95,0.24985396
benzene,90,0.17624806
benzene,85,0.12289257
benzene,80,0.08465746
benzene,75,0.05758361
benzene,70,0.03865125
benzene,65,0.02558453
benzene,60,0.01668939
benzene,55,0.01072095
benzene,50,0.00677668
benzene,45,0.00421145
benzene,40,0.00257096
benzene,35,0.00154029
benzene,30,0.00090474
benzene,25,0.00052048
chcl3,160,17.51562836
chcl3,155,16.04735712
chcl3,150,14.68418296
chcl3,145,13.42171954
chcl3,140,12.25509371
chcl3,135,11.17993276
chcl3,130,10.19092632
chcl3,125,9.28384955
chcl3,120,8.45349001
chcl3,115,7.69562186
chcl3,110,7.00523427
chcl3,105,6.37817151
chcl3,100,5.80997378
chcl3,95,5.29626864
chcl3,90,4.83319016
chcl3,85,4.41680569
chcl3,80,4.04334645
chcl3,75,3.70936124
chcl3,70,3.41166220
chcl3,65,3.14718124
chcl3,60,2.91316367
chcl3,55,2.70703525
chcl3,50,2.52652847
chcl3,45,2.36972128
chcl3,40,2.23485168
chcl3,35,2.12048903
chcl3,30,2.02550365
chcl3,25,1.94908497
cyclohexane,160,0.72479685
cyclohexane,155,0.54113588
cyclohexane,150,0.40142859
cyclohexane,145,0.29570375
cyclohexane,140,0.21617128
cyclohexane,135,0.15674241
cyclohexane,130,0.11266322
cyclohexane,125,0.08023190
cyclohexane,120,0.05657744
cyclohexane,115,0.03948488
cyclohexane,110,0.02725620
cyclohexane,105,0.01859929
cyclohexane,100,0.01253910
cyclohexane,95,0.00834657
cyclohexane,90,0.00548206
cyclohexane,85,0.00355045
cyclohexane,80,0.00226580
cyclohexane,75,0.00142378
cyclohexane,70,0.00088025
cyclohexane,65,0.00053501
cyclohexane,60,0.00031940
cyclohexane,55,0.00018713
cyclohexane,50,0.00010748
cyclohexane,45,0.00006047
cyclohexane,40,0.00003328
cyclohexane,35,0.00001790
cyclohexane,30,0.00000940
cyclohexane,25,0.00000481
cyclohexanol,160,8.59136018
cyclohexanol,155,7.11565528
cyclohexanol,150,5.84531768
cyclohexanol,145,4.76351889
cyclohexanol,140,3.85178777
cyclohexanol,135,3.09097865
cyclohexanol,130,2.46210051
cyclohexanol,125,1.94695359
cyclohexanol,120,1.52860442
cyclohexanol,115,1.19167437
cyclohexanol,110,0.92248478
cyclohexanol,105,0.70908580
cyclohexanol,100,0.54120043
cyclohexanol,95,0.41011205
cyclohexanol,90,0.30851853
cyclohexanol,85,0.23037135
cyclohexanol,80,0.17071182
cyclohexanol,75,0.12551391
cyclohexanol,70,0.09153870
cyclohexanol,65,0.06620338
cyclohexanol,60,0.04746598
cyclohexanol,55,0.03372581
cyclohexanol,50,0.02373870
cyclohexanol,45,0.01654585
cyclohexanol,40,0.01141475
cyclohexanol,35,0.00779079
cyclohexanol,30,0.00525788
cyclohexanol,25,0.00350681
"2,3-dihydropyran",160,10.03253146
"2,3-dihydropyran",155,8.21217494
"2,3-dihydropyran",150,6.64870827
"2,3-dihydropyran",145,5.32570051
"2,3-dihydropyran",140,4.22196644
"2,3-dihydropyran",135,3.31346812
"2,3-dihydropyran",130,2.57510171
"2,3-dihydropyran",125,1.98215052
