Solvent,Temperature_K,mu_self_REF,mu_solv_REF,Solvent_density_REF,Solvent_MolWeight_REF,Method_REF,log10_x_REF,w_REF,log10_S_REF,delta_mu_REF,mu_self_SLE,mu_solv_SLE,Solvent_density_SLE,Solvent_MolWeight_SLE,Method_SLE,log10_x_SLE,w_SLE,log10_S_SLE,x,delta_mu_SLE,error_log10_x,error_log10_S,error_w,error_delta_mu
propanol,403.15,4.12814181,3.92957247,700.0,60.0953,REF,-1.02290136,0.2883370867,-0.01766001,-0.1985693399999997,4.12814181,4.08897184,700.0,60.0953,SLE,-0.3377696,0.7666665527,0.4902981,0.45944169,-0.039169969999999665,0.6851317600000001,0.50795811,0.4783294659999999,0.15939937000000004
propanol,398.15,3.9249904,3.70856952,703.8,60.0953,REF,-1.14652362,0.2290370829,-0.12463259,-0.21642087999999982,3.9249904,3.87839531,703.8,60.0953,SLE,-0.37569541,0.7376120201,0.47019393,0.42102181,-0.04659508999999984,0.7708282099999999,0.59482652,0.5085749372,0.16982578999999998
propanol,393.15,3.71738099,3.48658528,707.63,60.0953,REF,-1.27522292,0.1780500839,-0.23949318,-0.2307957100000002,3.71738099,3.66297493,707.63,60.0953,SLE,-0.41442393,0.707697362,0.44881137,0.38510227,-0.054406060000000256,0.86079899,0.68830455,0.5296472781,0.17638964999999995
propanol,388.15,3.50516833,3.26338952,711.49,60.0953,REF,-1.40914764,0.1355506422,-0.36200168,-0.24177881,3.50516833,3.44263338,711.49,60.0953,SLE,-0.45402743,0.6769716575,0.42607027,0.35153824,-0.06253494999999987,0.95512021,0.78807195,0.5414210153,0.17924386000000014
propanol,383.15,3.28820878,3.03855495,715.38,60.0953,REF,-1.54834053,0.101168124,-0.49181657,-0.2496538300000002,3.28820878,3.21729736,715.38,60.0953,SLE,-0.49458344,0.6454972678,0.40188477,0.32019649,-0.07091142000000028,1.05375709,0.89370134,0.5443291438000001,0.1787424099999999
propanol,378.15,3.06636144,2.81152836,719.31,60.0953,REF,-1.69277229,0.0741184195,-0.62854266,-0.25483308000000005,3.06636144,2.98689815,719.31,60.0953,SLE,-0.53617476,0.613351371,0.3761632,0.29095461,-0.07946329000000008,1.15659753,1.00470586,0.5392329515000001,0.17536978999999997
propanol,373.15,2.83948933,2.58170748,723.28,60.0953,REF,-1.842381,0.0533737425,-0.77178399,-0.2577818500000002,2.83948933,2.7513676,723.28,60.0953,SLE,-0.57888678,0.5806294806,0.34881003,0.26370188,-0.08812173000000012,1.2634942200000001,1.12059402,0.5272557380999999,0.16966012000000008
propanol,368.15,2.6074606,2.34849845,727.28,60.0953,REF,-1.99710334,0.0378256383,-0.9211847,-0.2589621499999999,2.6074606,2.51064339,727.28,60.0953,SLE,-0.62281003,0.547444527,0.31972431,0.23833617,-0.09681721000000021,1.37429331,1.24090901,0.5096188887,0.16214493999999968
propanol,363.15,2.37014979,2.11135761,731.31,60.0953,REF,-2.15689883,0.0264092445,-1.07645774,-0.2587921799999999,2.37014979,2.26467423,731.31,60.0953,SLE,-0.66804292,0.5139255013,0.28879783,0.21476182,-0.10547556000000036,1.4888559099999998,1.36525557,0.48751625680000005,0.15331661999999957
propanol,358.15,2.12743908,1.86981089,735.38,60.0953,REF,-2.32176257,0.0181796829,-1.23739733,-0.2576281899999999,2.12743908,2.01340685,735.38,60.0953,SLE,-0.71468353,0.4802236433,0.25592137,0.192893,-0.11403222999999985,1.6070790400000003,1.4933187,0.4620439604,0.14359596000000008
propanol,353.15,1.87921951,1.62346066,739.49,60.0953,REF,-2.49173119,0.0123457485,-1.40388125,-0.25575884999999987,1.87921951,1.7567986,739.49,60.0953,SLE,-0.76283668,0.4465063713,0.22097997,0.1726487,-0.12242091,1.72889451,1.6248612199999999,0.4341606228,0.13333793999999988
propanol,348.15,1.62539208,1.37198269,743.63,60.0953,REF,-2.66688326,0.0082734481,-1.57586544,-0.25340938999999985,1.62539208,1.494815,743.63,60.0953,SLE,-0.81261208,0.4129570722,0.18385462,0.15395292,-0.1305770799999999,1.85427118,1.75972006,0.4046836241,0.12283230999999994
propanol,343.15,1.3658688,1.11511852,747.82,60.0953,REF,-2.84733677,0.0054719184,-1.7533754,-0.2507502800000001,1.3658688,1.22742824,747.82,60.0953,SLE,-0.86412311,0.3797733003,0.14442373,0.13673412,-0.13844056000000005,1.98321366,1.89779913,0.3743013819,0.11230972000000006
propanol,338.15,1.10057361,0.85266592,752.04,60.0953,REF,-3.03324536,0.003571453,-1.93649618,-0.24790769000000012,1.10057361,0.95461688,752.04,60.0953,SLE,-0.91748621,0.3471632768,0.10256417,0.12092436,-0.1459567300000001,2.11575915,2.03906035,0.3435918238,0.10195096000000003
propanol,333.15,0.82944309,0.58447001,756.29,60.0953,REF,-3.22479463,0.0022998841,-2.12536345,-0.24497308000000007,0.82944309,0.67636897,756.29,60.0953,SLE,-0.97282269,0.315339887,0.05815031,0.10645776,-0.1530741200000001,2.25197194,2.18351376,0.3130400029,0.09189895999999997
propanol,328.15,0.55242703,0.31041521,760.59,60.0953,REF,-3.42219891,0.0014607376,-2.3201557,-0.24201182000000004,0.55242703,0.39267673,760.59,60.0953,SLE,-1.03025511,0.2845169823,0.01105765,0.09327063,-0.15975030000000007,2.3919438,2.33121335,0.2830562447,0.08226151999999998
propanol,323.15,0.26948871,0.03041856,764.92,60.0953,REF,-3.62569869,0.0009146362,-2.5210881,-0.23907015,0.26948871,0.10354213,764.92,60.0953,SLE,-1.08991087,0.2549007322,-0.03883975,0.08129973,-0.16594658,2.5357878200000004,2.48224835,0.253986096,0.07312357
propanol,318.15,-0.01939498,-0.25557574,769.3,60.0953,REF,-3.83555891,0.0005642883,-2.72840789,-0.23618076,-0.01939498,-0.19103053,769.3,60.0953,SLE,-1.15191738,0.2266851847,-0.09166461,0.07048271,-0.17163555,2.68364153,2.63674328,0.2261208964,0.06454520999999999
propanol,313.15,-0.31423366,-0.54760072,773.71,60.0953,REF,-4.05206788,0.0003428178,-2.94239126,-0.23336706000000002,-0.31423366,-0.49103187,773.71,60.0953,SLE,-1.21640399,0.2000440919,-0.1475377,0.06075696,-0.17679820999999996,2.83566389,2.79485356,0.1997012741,0.05656885000000006
propanol,308.15,-0.6150239,-0.8456703,778.17,60.0953,REF,-4.27553697,0.0002049457,-3.16334131,-0.23064640000000003,-0.6150239,-0.79644857,778.17,60.0953,SLE,-1.28350151,0.1751246617,-0.20657718,0.05205932,-0.18142467000000007,2.9920354600000003,2.95676413,0.174919716,0.049221729999999964
propanol,303.15,-0.92174984,-1.14978233,782.67,60.0953,REF,-4.50630066,0.0001204765,-3.39158698,-0.22803249000000003,-0.92174984,-1.10726673,782.67,60.0953,SLE,-1.35334022,0.1520427396,-0.26889668,0.04432613,-0.18551689000000005,3.15296044,3.1226903,0.1519222631,0.04251559999999999
propanol,298.15,-1.23438398,-1.45992122,787.21,60.0953,REF,-4.74471723,6.95828e-05,-3.62748291,-0.22553723999999997,-1.23438398,-1.42346842,787.21,60.0953,SLE,-1.42605293,0.1308776874,-0.33460816,0.03749273,-0.18908444000000002,3.3186643,3.2928747499999997,0.1308081046,0.03645279999999995
2-propanol,403.15,4.12814181,3.93302143,692.67,60.0953,REF,-1.02477102,0.2873623123,-0.02288732,-0.19512037999999965,4.12814181,4.08956005,692.67,60.0953,SLE,-0.33808832,0.7664236689,0.48867979,0.45910463,-0.038581759999999576,0.6866827,0.51156711,0.47906135660000004,0.15653862000000007
2-propanol,398.15,3.9249904,3.71220489,696.44,60.0953,REF,-1.14851908,0.2281647277,-0.130239,-0.2127855099999998,3.9249904,3.87908149,696.44,60.0953,SLE,-0.37607189,0.7373222248,0.46837851,0.42065699,-0.04590891000000008,0.7724471900000001,0.59861751,0.5091574971,0.1668765999999997
2-propanol,393.15,3.71738099,3.4902621,700.23,60.0953,REF,-1.27726681,0.1773240028,-0.2453658,-0.2271188900000003,3.71738099,3.66375534,700.23,60.0953,SLE,-0.41485756,0.7073614496,0.44679676,0.38471794,-0.0536256500000003,0.86240925,0.69216256,0.5300374468,0.17349324
2-propanol,388.15,3.50516833,3.26695607,704.06,60.0953,REF,-1.41115576,0.134987896,-0.36801884,-0.23821226000000006,3.50516833,3.4434989,704.06,60.0953,SLE,-0.45451454,0.6765934128,0.42385689,0.35114417,-0.06166943000000025,0.95664122,0.79187573,0.5416055168,0.17654282999999982
2-propanol,383.15,3.28820878,3.04186278,707.93,60.0953,REF,-1.55022729,0.1007623194,-0.49785597,-0.24634599999999995,3.28820878,3.21823241,707.93,60.0953,SLE,-0.49511655,0.6450840713,0.39947631,0.31980367,-0.06997637000000001,1.05511074,0.89733228,0.5443217519,0.17636962999999994
2-propanol,378.15,3.06636144,2.81443984,711.82,60.0953,REF,-1.69445493,0.0738474992,-0.63448797,-0.2519216000000002,3.06636144,2.98788123,711.82,60.0953,SLE,-0.53674267,0.6129140295,0.37356696,0.29057439,-0.07848020999999994,1.15771226,1.0080549300000001,0.5390665303,0.17344139000000025
2-propanol,373.15,2.83948933,2.58409934,715.76,60.0953,REF,-1.84378186,0.0532086376,-0.77752858,-0.2553899900000003,2.83948933,2.75236654,715.76,60.0953,SLE,-0.57947158,0.5801842067,0.34603931,0.26334702,-0.08712279,1.2643102800000001,1.12356789,0.5269755691,0.16826720000000028
2-propanol,368.15,2.6074606,2.35026226,719.73,60.0953,REF,-1.99815039,0.0377371015,-0.92663279,-0.25719833999999997,2.6074606,2.51161781,719.73,60.0953,SLE,-0.62338823,0.5470115272,0.31679823,0.23801908,-0.09584278999999984,1.37476216,1.24343102,0.5092744257,0.16135555000000013
2-propanol,363.15,2.37014979,2.11239794,723.73,60.0953,REF,-2.15752491,0.0263719443,-1.08152353,-0.25775185,2.37014979,2.2655689,723.73,60.0953,SLE,-0.66858111,0.51353133,0.28574495,0.21449585,-0.10458089000000026,1.4889438,1.36726848,0.48715938569999995,0.15317095999999975
2-propanol,358.15,2.12743908,1.8700425,727.77,60.0953,REF,-2.3219039,0.0181738475,-1.24200293,-0.25739657999999976,2.12743908,2.01415761,727.77,60.0953,SLE,-0.71514145,0.4798976045,0.25277808,0.19268972,-0.11328147,1.6067624500000002,1.49478101,0.461723757,0.14411510999999977
2-propanol,353.15,1.87921951,1.62280548,731.84,60.0953,REF,-2.49132573,0.0123571743,-1.40795422,-0.25641402999999996,1.87921951,1.7573262,731.84,60.0953,SLE,-0.76316304,0.4462819257,0.21779422,0.17251901,-0.12189330999999992,1.7281626899999998,1.62574844,0.43392475140000003,0.13452072000000004
2-propanol,348.15,1.62539208,1.37036721,735.96,60.0953,REF,-2.66586916,0.0082926706,-1.5793365,-0.25502486999999996,1.62539208,1.49503,735.96,60.0953,SLE,-0.81274699,0.4128680698,0.18068462,0.1539051,-0.13036207999999982,1.8531221700000002,1.76002112,0.4045753992,0.12466279000000013
2-propanol,343.15,1.3658688,1.11247183,740.11,60.0953,REF,-2.84565114,0.0054931111,-1.75617642,-0.25339697000000005,1.3658688,1.22722139,740.11,60.0953,SLE,-0.86399143,0.379856038,0.14134374,0.13677558,-0.13864741000000014,1.9816597100000002,1.89752016,0.3743629269,0.11474955999999992
2-propanol,338.15,1.10057361,0.84891837,744.3,60.0953,REF,-3.03082333,0.0035913732,-1.93855867,-0.25165524000000006,1.10057361,0.95386968,744.3,60.0953,SLE,-0.91700351,0.3474499097,0.09966025,0.12105884,-0.14670393000000004,2.11381982,2.03821892,0.3438585365,0.10495131000000002
2-propanol,333.15,0.82944309,0.57955251,748.52,60.0953,REF,-3.22156877,0.0023170014,-2.12661751,-0.24989058000000008,0.82944309,0.67494834,748.52,60.0953,SLE,-0.97189117,0.3158584417,0.05552395,0.10668634,-0.15449475000000001,2.2496776,2.18214146,0.3135414403,0.09539583000000007
2-propanol,328.15,0.55242703,0.30425892,752.79,60.0953,REF,-3.41809887,0.0014745781,-2.32052929,-0.24816811000000005,0.55242703,0.3904409,752.79,60.0953,SLE,-1.02876671,0.2852871701,0.00882333,0.09359083,-0.16198613000000006,2.3893321600000004,2.32935262,0.283812592,0.08618197999999999
2-propanol,323.15,0.26948871,0.02295496,757.1,60.0953,REF,-3.62065108,0.0009253213,-2.52050666,-0.24653375000000002,0.26948871,0.10033753,757.1,60.0953,SLE,-1.08774455,0.2559335492,-0.04055226,0.08170628,-0.16915118,2.53290653,2.4799544,0.2550082279,0.07738257000000001
2-propanol,318.15,-0.01939498,-0.26441462,761.44,60.0953,REF,-3.82948725,0.0005722294,-2.72679413,-0.24501963999999998,-0.01939498,-0.19535858,761.44,60.0953,SLE,-1.14894563,0.2279785964,-0.09271612,0.07096666,-0.1759636,2.68054162,2.63407801,0.227406367,0.06905603999999999
2-propanol,313.15,-0.31423366,-0.55788193,765.83,60.0953,REF,-4.04489269,0.0003485273,-2.93966507,-0.24364826999999994,-0.31423366,-0.49664097,765.83,60.0953,SLE,-1.21249113,0.2015840159,-0.14777863,0.06130683,-0.18240731,2.83240156,2.7918864400000003,0.20123548859999998,0.061240959999999955
2-propanol,308.15,-0.6150239,-0.85745961,770.25,60.0953,REF,-4.26717578,0.0002089289,-3.15941975,-0.24243571000000008,-0.6150239,-0.80349639,770.25,60.0953,SLE,-1.27850524,0.1768852789,-0.20584947,0.05266169,-0.18847249,2.9886705399999993,2.95357028,0.17667635,0.05396322000000009
2-propanol,303.15,-0.92174984,-1.1631439,774.72,60.0953,REF,-4.4966681,0.0001231782,-3.38638429,-0.24139405999999985,-0.92174984,-1.11590138,774.72,60.0953,SLE,-1.34711808,0.1539862866,-0.26704046,0.04496576,-0.1941515399999999,3.14955002,3.11934383,0.1538631084,0.047242519999999955
2-propanol,298.15,-1.23438398,-1.47491739,779.23,60.0953,REF,-4.73372496,7.13664e-05,-3.62091038,-0.24053341000000006,-1.23438398,-1.43383565,779.23,60.0953,SLE,-1.41845699,0.1329593021,-0.33145764,0.03815426,-0.19945166999999997,3.31526797,3.28945274,0.13288793570000001,0.04108174000000009
propanone,403.15,4.12814181,3.75891849,710.52,58.0795,REF,-0.93039071,0.3472511269,0.07727933,-0.3692233199999997,4.12814181,4.06015017,710.52,58.0795,SLE,-0.3221523,0.7843635451,0.50549113,0.47626394,-0.0679916399999998,0.60823841,0.42821180000000003,0.43711241819999996,0.3012316799999999
propanone,398.15,3.9249904,3.51249891,714.36,58.0795,REF,-1.03889996,0.2870049049,-0.01249062,-0.41249148999999985,3.9249904,3.84314429,714.36,58.0795,SLE,-0.35635443,0.7587659196,0.48856503,0.44019547,-0.08184610999999986,0.68254553,0.50105565,0.4717610146999999,0.33064538
propanone,393.15,3.71738099,3.2669279,718.24,58.0795,REF,-1.15311904,0.2321911276,-0.11051574,-0.4504530899999999,3.71738099,3.62064562,718.24,58.0795,SLE,-0.39090398,0.7326243898,0.47078665,0.4065332,-0.09673537000000021,0.7622150599999999,0.58130239,0.5004332622000001,0.3537177199999997
propanone,388.15,3.50516833,3.02287748,722.16,58.0795,REF,-1.27372877,0.1836426315,-0.21726808,-0.48229085000000005,3.50516833,3.39259834,722.16,58.0795,SLE,-0.42586772,0.7059596129,0.45210461,0.37508723,-0.1125699899999999,0.8478610499999999,0.66937269,0.5223169813999999,0.36972086000000015
propanone,383.15,3.28820878,2.78062511,726.1,58.0795,REF,-1.40121952,0.141896814,-0.33302326,-0.5075836700000003,3.28820878,3.15895224,726.1,58.0795,SLE,-0.46131831,0.6787945352,0.43246105,0.34568592,-0.1292565400000001,0.9399012099999999,0.76548431,0.5368977212,0.3783271300000002
propanone,378.15,3.06636144,2.54000672,730.09,58.0795,REF,-1.53585085,0.107112259,-0.4578099,-0.52635472,3.06636144,2.91966598,730.09,58.0795,SLE,-0.49733589,0.6511541581,0.4117901,0.31817357,-0.1466954600000001,1.03851496,0.8695999999999999,0.5440418991,0.37965925999999994
propanone,373.15,2.83948933,2.30047509,734.11,58.0795,REF,-1.67766954,0.0790406671,-0.59142507,-0.5390142400000002,2.83948933,2.67471578,734.11,58.0795,SLE,-0.53401302,0.623062961,0.39001422,0.29240647,-0.16477355000000005,1.14365652,0.98143929,0.5440222939,0.37424069000000015
propanone,368.15,2.6074606,2.06120488,738.17,58.0795,REF,-1.82655675,0.057082193,-0.73348963,-0.54625572,2.6074606,2.4240892,738.17,58.0795,SLE,-0.57145101,0.5945492024,0.3670457,0.26825572,-0.18337139999999996,1.2551057399999999,1.10053533,0.5374670094,0.36288432000000004
propanone,363.15,2.37014979,1.82121404,742.26,58.0795,REF,-1.98228894,0.0404024434,-0.88352354,-0.5489357500000001,2.37014979,2.16779486,742.26,58.0795,SLE,-0.60976571,0.5656423984,0.34278219,0.24560335,-0.20235493000000027,1.37252323,1.22630573,0.525239955,0.3465808199999998
propanone,358.15,2.12743908,1.5795028,746.39,58.0795,REF,-2.14461462,0.0280676186,-1.04103713,-0.5479362799999998,2.12743908,1.90585397,746.39,58.0795,SLE,-0.64908251,0.5363793032,0.31710932,0.22434556,-0.22158510999999992,1.49553211,1.35814645,0.5083116846000001,0.3263511699999999
propanone,353.15,1.87921951,1.33514438,750.56,58.0795,REF,-2.31330776,0.0191630721,-1.2055956,-0.54407513,1.87921951,1.63830871,750.56,58.0795,SLE,-0.68954147,0.5068025669,0.28989654,0.20438947,-0.24091079999999998,1.6237662899999998,1.49549214,0.4876394948,0.30316433
propanone,348.15,1.62539208,1.08733947,754.77,58.0795,REF,-2.48820307,0.0128719366,-1.3768598,-0.5380526099999998,1.62539208,1.36523414,754.77,58.0795,SLE,-0.73130508,0.476958131,0.26099055,0.18564999,-0.2601579399999998,1.75689799,1.6378503500000001,0.4640861944,0.27789467
propanone,343.15,1.3658688,0.83543103,759.01,58.0795,REF,-2.66920926,0.008512734,-1.55459964,-0.5304377700000001,1.3658688,1.08671122,759.01,58.0795,SLE,-0.77454207,0.4469101989,0.23022651,0.16805751,-0.2791575800000001,1.8946671900000003,1.78482615,0.4383974649,0.25128019
propanone,338.15,1.10057361,0.578897,763.3,58.0795,REF,-2.85630915,0.005545501,-1.73869111,-0.5216766100000001,1.10057361,0.80284956,763.3,58.0795,SLE,-0.81944192,0.4167339615,0.19741691,0.15155075,-0.29772405000000013,2.03686723,1.93610802,0.4111884605,0.22395255999999997
propanone,333.15,0.82944309,0.31733058,767.62,58.0795,REF,-3.04955186,0.0035591582,-1.92910345,-0.5121125100000001,0.82944309,0.51379288,767.62,58.0795,SLE,-0.86621947,0.3865163204,0.16234711,0.13607568,-0.31565021000000004,2.18333239,2.0914505599999997,0.3829571622,0.1964623000000001
propanone,328.15,0.55242703,0.05041678,771.99,58.0795,REF,-3.24904183,0.0022505284,-2.12588287,-0.50201025,0.55242703,0.21969568,771.99,58.0795,SLE,-0.91510096,0.3563684503,0.12478591,0.12159033,-0.33273135000000004,2.33394087,2.25066878,0.35411792189999997,0.16927889999999995
propanone,323.15,0.26948871,-0.22208917,776.39,58.0795,REF,-3.45492835,0.0014017637,-2.32913706,-0.49157788,0.26948871,-0.07927095,776.39,58.0795,SLE,-0.96632849,0.3264245972,0.0844824,0.10806163,-0.34875966,2.48859986,2.41361946,0.3250228335,0.14281822
propanone,318.15,-0.01939498,-0.50038025,780.84,58.0795,REF,-3.6673963,0.0008597725,-2.53902178,-0.48098526999999996,-0.01939498,-0.38290825,780.84,58.0795,SLE,-1.02016876,0.2968381838,0.04115883,0.09546216,-0.36351327,2.6472275400000003,2.58018061,0.29597841129999997,0.11747199999999997
propanone,313.15,-0.31423366,-0.78461205,785.33,58.0795,REF,-3.88665907,0.000519077,-2.75573039,-0.47037839,-0.31423366,-0.69102708,785.33,58.0795,SLE,-1.07688908,0.267794404,-0.00546837,0.08377432,-0.37679342,2.80976999,2.75026202,0.267275327,0.09358496999999999
propanone,308.15,-0.6150239,-1.07491354,789.86,58.0795,REF,-4.11295353,0.0003083231,-2.97948616,-0.4598896400000001,-0.6150239,-1.00343216,789.86,58.0795,SLE,-1.1367687,0.2394991802,-0.05569658,0.07298461,-0.38840826000000006,2.9761848300000002,2.9237895799999998,0.2391908571,0.07148138000000004
propanone,303.15,-0.92174984,-1.37139487,794.43,58.0795,REF,-4.34653674,0.0001800796,-3.2105371,-0.44964503,-0.92174984,-1.31994931,794.43,58.0795,SLE,-1.20008058,0.212180512,-0.10981905,0.06308403,-0.3981994699999999,3.1464561600000005,3.10071805,0.2120004324,0.05144556000000011
propanone,298.15,-1.23438398,-1.67415287,799.05,58.0795,REF,-4.58768429,0.0001033575,-3.44915287,-0.43976888999999986,-1.23438398,-1.64044224,799.05,58.0795,SLE,-1.26707896,0.1860807082,-0.16811091,0.0540656,-0.40605826,3.3206053300000002,3.2810419599999996,0.1859773507,0.03371062999999985
acetylacetone,403.15,4.12814181,4.28254419,867.41,100.1163,REF,-1.21424551,0.1311160423,-0.30042859,0.1544023800000005,4.12814181,4.14817223,867.41,100.1163,SLE,-0.3698479,0.6333379997,0.42317413,0.42672895,0.020030420000000326,0.84439761,0.7236027199999999,0.5022219574,-0.13437196000000018
acetylacetone,398.15,3.9249904,4.11378706,871.9,100.1163,REF,-1.36894855,0.0939233792,-0.4458715,0.18879665999999995,3.9249904,3.95434907,871.9,100.1163,SLE,-0.41736853,0.5897236611,0.39078655,0.38250003,0.029358670000000142,0.95158002,0.83665805,0.4958002819,-0.1594379899999998
acetylacetone,393.15,3.71738099,3.94080268,876.41,100.1163,REF,-1.52771481,0.066248152,-0.59729925,0.2234216899999999,3.71738099,3.75882003,876.41,100.1163,SLE,-0.46767951,0.5452302017,0.35528314,0.34065949,0.04143903999999976,1.0600353,0.9525823899999999,0.4789820497,-0.18198265000000013
acetylacetone,388.15,3.50516833,3.76315678,880.96,100.1163,REF,-1.69053861,0.0460785971,-0.75423012,0.25798845000000004,3.50516833,3.56191029,880.96,100.1163,SLE,-0.52115644,0.5000364378,0.31625235,0.30119209,0.05674196000000009,1.16938217,1.07048247,0.45395784069999995,-0.20124648999999994
acetylacetone,383.15,3.28820878,3.58066699,885.53,100.1163,REF,-1.85755668,0.0316323977,-0.91642136,0.29245820999999994,3.28820878,3.36395865,885.53,100.1163,SLE,-0.57820151,0.454402329,0.27324321,0.2641183,0.07574986999999966,1.27935517,1.18966457,0.4227699313,-0.21670834000000028
acetylacetone,378.15,3.06636144,3.39330712,890.12,100.1163,REF,-2.02900171,0.0214409683,-1.08381363,0.3269456799999997,3.06636144,3.16530551,890.12,100.1163,SLE,-0.63923761,0.4086802475,0.22577148,0.22948928,0.09894406999999994,1.3897641000000003,1.30958511,0.3872392792,-0.22800160999999974
acetylacetone,373.15,2.83948933,3.20113188,894.75,100.1163,REF,-2.20516391,0.0143500252,-1.25647787,0.36164255,2.83948933,2.96624163,894.75,100.1163,SLE,-0.70467905,0.3633332134,0.17334755,0.19738809,0.1267522999999997,1.50048486,1.42982542,0.3489831882,-0.2348902500000003
acetylacetone,368.15,2.6074606,3.00422911,899.4,100.1163,REF,-2.3863659,0.009481175,-1.43457487,0.3967685099999998,2.6074606,2.76697807,899.4,100.1163,SLE,-0.77491242,0.3189267133,0.11550015,0.16791426,0.15951746999999994,1.6114534799999998,1.55007502,0.3094455383,-0.23725103999999986
acetylacetone,363.15,2.37014979,2.80268796,904.08,100.1163,REF,-2.57294499,0.006181618,-1.61832414,0.43253816999999994,2.37014979,2.56756999,904.08,100.1163,SLE,-0.85024806,0.2761165775,0.05182878,0.1411731,0.19742019999999982,1.72269693,1.6701529199999998,0.2699349595,-0.23511797000000012
acetylacetone,358.15,2.12743908,2.59658313,908.78,100.1163,REF,-2.76524388,0.0039751192,-1.80798362,0.46914405000000015,2.12743908,2.3678845,908.78,100.1163,SLE,-0.93089433,0.2355958274,-0.01795969,0.11724806,0.24044542000000035,1.8343495499999998,1.7900239299999998,0.23162070820000003,-0.2286986299999998
acetylacetone,353.15,1.87921951,2.38596737,913.51,100.1163,REF,-2.96360558,0.0025196999,-2.00383601,0.5067478599999999,1.87921951,2.16755618,913.51,100.1163,SLE,-1.01692216,0.1980299443,-0.09400518,0.09617847,0.2883366700000001,1.9466834199999998,1.9098308300000002,0.1955102444,-0.21841118999999987
acetylacetone,348.15,1.62539208,2.17086922,918.27,100.1163,REF,-3.16837137,0.0015733204,-2.20618016,0.5454771400000002,1.62539208,1.96598537,918.27,100.1163,SLE,-1.10825334,0.1639767329,-0.17627164,0.07793753,0.34059329000000016,2.06011803,2.02990852,0.1624034125,-0.2048838500000001
acetylacetone,343.15,1.3658688,1.95129365,923.06,100.1163,REF,-3.37988039,0.0009670704,-2.41532574,0.5854248499999999,1.3658688,1.76240637,923.06,100.1163,SLE,-1.20469241,0.133810088,-0.26457017,0.06241768,0.39653757,2.1751879799999996,2.1507555700000003,0.1328430176,-0.18888727999999988
acetylacetone,338.15,1.10057361,1.72722463,927.87,100.1163,REF,-3.59847057,0.0005847395,-2.63159041,0.62665102,1.10057361,1.55593788,927.87,100.1163,SLE,-1.30594992,0.1076871242,-0.35858219,0.04943677,0.45536427,2.29252065,2.27300822,0.1071023847,-0.17128674999999993
acetylacetone,333.15,0.82944309,1.49862784,932.71,100.1163,REF,-3.82447981,0.0003475456,-2.8552984,0.6691847499999999,0.82944309,1.34570944,932.71,100.1163,SLE,-1.4117178,0.085543475,-0.45793812,0.03875094,0.51626635,2.4127620100000002,2.39736028,0.0851959294,-0.1529183999999999
acetylacetone,328.15,0.55242703,1.26545379,937.58,100.1163,REF,-4.05824774,0.0002028989,-3.08678021,0.71302676,0.55242703,1.1309189,937.58,100.1163,SLE,-1.52170576,0.0671358931,-0.56226401,0.03008114,0.5784918699999999,2.53654198,2.5245162,0.0669329942,-0.13453489000000007
