Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,delta_mu
propanol,403.15,4.12814181,3.92957247,700.0,60.0953,REF,-1.02290136,0.2883370867,-0.01766001,-0.1985693399999997
propanol,398.15,3.9249904,3.70856952,703.8,60.0953,REF,-1.14652362,0.2290370829,-0.12463259,-0.21642087999999982
propanol,393.15,3.71738099,3.48658528,707.63,60.0953,REF,-1.27522292,0.1780500839,-0.23949318,-0.2307957100000002
propanol,388.15,3.50516833,3.26338952,711.49,60.0953,REF,-1.40914764,0.1355506422,-0.36200168,-0.24177881
propanol,383.15,3.28820878,3.03855495,715.38,60.0953,REF,-1.54834053,0.101168124,-0.49181657,-0.2496538300000002
propanol,378.15,3.06636144,2.81152836,719.31,60.0953,REF,-1.69277229,0.0741184195,-0.62854266,-0.25483308000000005
propanol,373.15,2.83948933,2.58170748,723.28,60.0953,REF,-1.842381,0.0533737425,-0.77178399,-0.2577818500000002
propanol,368.15,2.6074606,2.34849845,727.28,60.0953,REF,-1.99710334,0.0378256383,-0.9211847,-0.2589621499999999
propanol,363.15,2.37014979,2.11135761,731.31,60.0953,REF,-2.15689883,0.0264092445,-1.07645774,-0.2587921799999999
propanol,358.15,2.12743908,1.86981089,735.38,60.0953,REF,-2.32176257,0.0181796829,-1.23739733,-0.2576281899999999
propanol,353.15,1.87921951,1.62346066,739.49,60.0953,REF,-2.49173119,0.0123457485,-1.40388125,-0.25575884999999987
propanol,348.15,1.62539208,1.37198269,743.63,60.0953,REF,-2.66688326,0.0082734481,-1.57586544,-0.25340938999999985
propanol,343.15,1.3658688,1.11511852,747.82,60.0953,REF,-2.84733677,0.0054719184,-1.7533754,-0.2507502800000001
propanol,338.15,1.10057361,0.85266592,752.04,60.0953,REF,-3.03324536,0.003571453,-1.93649618,-0.24790769000000012
propanol,333.15,0.82944309,0.58447001,756.29,60.0953,REF,-3.22479463,0.0022998841,-2.12536345,-0.24497308000000007
propanol,328.15,0.55242703,0.31041521,760.59,60.0953,REF,-3.42219891,0.0014607376,-2.3201557,-0.24201182000000004
propanol,323.15,0.26948871,0.03041856,764.92,60.0953,REF,-3.62569869,0.0009146362,-2.5210881,-0.23907015
propanol,318.15,-0.01939498,-0.25557574,769.3,60.0953,REF,-3.83555891,0.0005642883,-2.72840789,-0.23618076
propanol,313.15,-0.31423366,-0.54760072,773.71,60.0953,REF,-4.05206788,0.0003428178,-2.94239126,-0.23336706000000002
propanol,308.15,-0.6150239,-0.8456703,778.17,60.0953,REF,-4.27553697,0.0002049457,-3.16334131,-0.23064640000000003
propanol,303.15,-0.92174984,-1.14978233,782.67,60.0953,REF,-4.50630066,0.0001204765,-3.39158698,-0.22803249000000003
propanol,298.15,-1.23438398,-1.45992122,787.21,60.0953,REF,-4.74471723,6.95828e-05,-3.62748291,-0.22553723999999997
2-propanol,403.15,4.12814181,3.93302143,692.67,60.0953,REF,-1.02477102,0.2873623123,-0.02288732,-0.19512037999999965
2-propanol,398.15,3.9249904,3.71220489,696.44,60.0953,REF,-1.14851908,0.2281647277,-0.130239,-0.2127855099999998
2-propanol,393.15,3.71738099,3.4902621,700.23,60.0953,REF,-1.27726681,0.1773240028,-0.2453658,-0.2271188900000003
2-propanol,388.15,3.50516833,3.26695607,704.06,60.0953,REF,-1.41115576,0.134987896,-0.36801884,-0.23821226000000006
2-propanol,383.15,3.28820878,3.04186278,707.93,60.0953,REF,-1.55022729,0.1007623194,-0.49785597,-0.24634599999999995
2-propanol,378.15,3.06636144,2.81443984,711.82,60.0953,REF,-1.69445493,0.0738474992,-0.63448797,-0.2519216000000002
2-propanol,373.15,2.83948933,2.58409934,715.76,60.0953,REF,-1.84378186,0.0532086376,-0.77752858,-0.2553899900000003
2-propanol,368.15,2.6074606,2.35026226,719.73,60.0953,REF,-1.99815039,0.0377371015,-0.92663279,-0.25719833999999997
2-propanol,363.15,2.37014979,2.11239794,723.73,60.0953,REF,-2.15752491,0.0263719443,-1.08152353,-0.25775185
2-propanol,358.15,2.12743908,1.8700425,727.77,60.0953,REF,-2.3219039,0.0181738475,-1.24200293,-0.25739657999999976
2-propanol,353.15,1.87921951,1.62280548,731.84,60.0953,REF,-2.49132573,0.0123571743,-1.40795422,-0.25641402999999996
2-propanol,348.15,1.62539208,1.37036721,735.96,60.0953,REF,-2.66586916,0.0082926706,-1.5793365,-0.25502486999999996
2-propanol,343.15,1.3658688,1.11247183,740.11,60.0953,REF,-2.84565114,0.0054931111,-1.75617642,-0.25339697000000005
2-propanol,338.15,1.10057361,0.84891837,744.3,60.0953,REF,-3.03082333,0.0035913732,-1.93855867,-0.25165524000000006
2-propanol,333.15,0.82944309,0.57955251,748.52,60.0953,REF,-3.22156877,0.0023170014,-2.12661751,-0.24989058000000008
2-propanol,328.15,0.55242703,0.30425892,752.79,60.0953,REF,-3.41809887,0.0014745781,-2.32052929,-0.24816811000000005
2-propanol,323.15,0.26948871,0.02295496,757.1,60.0953,REF,-3.62065108,0.0009253213,-2.52050666,-0.24653375000000002
2-propanol,318.15,-0.01939498,-0.26441462,761.44,60.0953,REF,-3.82948725,0.0005722294,-2.72679413,-0.24501963999999998
2-propanol,313.15,-0.31423366,-0.55788193,765.83,60.0953,REF,-4.04489269,0.0003485273,-2.93966507,-0.24364826999999994
2-propanol,308.15,-0.6150239,-0.85745961,770.25,60.0953,REF,-4.26717578,0.0002089289,-3.15941975,-0.24243571000000008
2-propanol,303.15,-0.92174984,-1.1631439,774.72,60.0953,REF,-4.4966681,0.0001231782,-3.38638429,-0.24139405999999985
2-propanol,298.15,-1.23438398,-1.47491739,779.23,60.0953,REF,-4.73372496,7.13664e-05,-3.62091038,-0.24053341000000006
propanone,403.15,4.12814181,3.75891849,710.52,58.0795,REF,-0.93039071,0.3472511269,0.07727933,-0.3692233199999997
propanone,398.15,3.9249904,3.51249891,714.36,58.0795,REF,-1.03889996,0.2870049049,-0.01249062,-0.41249148999999985
propanone,393.15,3.71738099,3.2669279,718.24,58.0795,REF,-1.15311904,0.2321911276,-0.11051574,-0.4504530899999999
propanone,388.15,3.50516833,3.02287748,722.16,58.0795,REF,-1.27372877,0.1836426315,-0.21726808,-0.48229085000000005
propanone,383.15,3.28820878,2.78062511,726.1,58.0795,REF,-1.40121952,0.141896814,-0.33302326,-0.5075836700000003
propanone,378.15,3.06636144,2.54000672,730.09,58.0795,REF,-1.53585085,0.107112259,-0.4578099,-0.52635472
propanone,373.15,2.83948933,2.30047509,734.11,58.0795,REF,-1.67766954,0.0790406671,-0.59142507,-0.5390142400000002
propanone,368.15,2.6074606,2.06120488,738.17,58.0795,REF,-1.82655675,0.057082193,-0.73348963,-0.54625572
propanone,363.15,2.37014979,1.82121404,742.26,58.0795,REF,-1.98228894,0.0404024434,-0.88352354,-0.5489357500000001
propanone,358.15,2.12743908,1.5795028,746.39,58.0795,REF,-2.14461462,0.0280676186,-1.04103713,-0.5479362799999998
propanone,353.15,1.87921951,1.33514438,750.56,58.0795,REF,-2.31330776,0.0191630721,-1.2055956,-0.54407513
propanone,348.15,1.62539208,1.08733947,754.77,58.0795,REF,-2.48820307,0.0128719366,-1.3768598,-0.5380526099999998
propanone,343.15,1.3658688,0.83543103,759.01,58.0795,REF,-2.66920926,0.008512734,-1.55459964,-0.5304377700000001
propanone,338.15,1.10057361,0.578897,763.3,58.0795,REF,-2.85630915,0.005545501,-1.73869111,-0.5216766100000001
propanone,333.15,0.82944309,0.31733058,767.62,58.0795,REF,-3.04955186,0.0035591582,-1.92910345,-0.5121125100000001
propanone,328.15,0.55242703,0.05041678,771.99,58.0795,REF,-3.24904183,0.0022505284,-2.12588287,-0.50201025
propanone,323.15,0.26948871,-0.22208917,776.39,58.0795,REF,-3.45492835,0.0014017637,-2.32913706,-0.49157788
propanone,318.15,-0.01939498,-0.50038025,780.84,58.0795,REF,-3.6673963,0.0008597725,-2.53902178,-0.48098526999999996
propanone,313.15,-0.31423366,-0.78461205,785.33,58.0795,REF,-3.88665907,0.000519077,-2.75573039,-0.47037839
propanone,308.15,-0.6150239,-1.07491354,789.86,58.0795,REF,-4.11295353,0.0003083231,-2.97948616,-0.4598896400000001
propanone,303.15,-0.92174984,-1.37139487,794.43,58.0795,REF,-4.34653674,0.0001800796,-3.2105371,-0.44964503
propanone,298.15,-1.23438398,-1.67415287,799.05,58.0795,REF,-4.58768429,0.0001033575,-3.44915287,-0.43976888999999986
acetylacetone,403.15,4.12814181,4.28254419,867.41,100.1163,REF,-1.21424551,0.1311160423,-0.30042859,0.1544023800000005
acetylacetone,398.15,3.9249904,4.11378706,871.9,100.1163,REF,-1.36894855,0.0939233792,-0.4458715,0.18879665999999995
acetylacetone,393.15,3.71738099,3.94080268,876.41,100.1163,REF,-1.52771481,0.066248152,-0.59729925,0.2234216899999999
acetylacetone,388.15,3.50516833,3.76315678,880.96,100.1163,REF,-1.69053861,0.0460785971,-0.75423012,0.25798845000000004
acetylacetone,383.15,3.28820878,3.58066699,885.53,100.1163,REF,-1.85755668,0.0316323977,-0.91642136,0.29245820999999994
acetylacetone,378.15,3.06636144,3.39330712,890.12,100.1163,REF,-2.02900171,0.0214409683,-1.08381363,0.3269456799999997
acetylacetone,373.15,2.83948933,3.20113188,894.75,100.1163,REF,-2.20516391,0.0143500252,-1.25647787,0.36164255
acetylacetone,368.15,2.6074606,3.00422911,899.4,100.1163,REF,-2.3863659,0.009481175,-1.43457487,0.3967685099999998
acetylacetone,363.15,2.37014979,2.80268796,904.08,100.1163,REF,-2.57294499,0.006181618,-1.61832414,0.43253816999999994
acetylacetone,358.15,2.12743908,2.59658313,908.78,100.1163,REF,-2.76524388,0.0039751192,-1.80798362,0.46914405000000015
acetylacetone,353.15,1.87921951,2.38596737,913.51,100.1163,REF,-2.96360558,0.0025196999,-2.00383601,0.5067478599999999
acetylacetone,348.15,1.62539208,2.17086922,918.27,100.1163,REF,-3.16837137,0.0015733204,-2.20618016,0.5454771400000002
acetylacetone,343.15,1.3658688,1.95129365,923.06,100.1163,REF,-3.37988039,0.0009670704,-2.41532574,0.5854248499999999
acetylacetone,338.15,1.10057361,1.72722463,927.87,100.1163,REF,-3.59847057,0.0005847395,-2.63159041,0.62665102
acetylacetone,333.15,0.82944309,1.49862784,932.71,100.1163,REF,-3.82447981,0.0003475456,-2.8552984,0.6691847499999999
acetylacetone,328.15,0.55242703,1.26545379,937.58,100.1163,REF,-4.05824774,0.0002028989,-3.08678021,0.71302676
acetylacetone,323.15,0.26948871,1.02764073,942.47,100.1163,REF,-4.30011756,0.0001162603,-3.32637307,0.7581520199999998
acetylacetone,318.15,-0.01939498,0.78511716,947.4,100.1163,REF,-4.55043802,6.53316e-05,-3.57442188,0.8045121399999999
acetylacetone,313.15,-0.31423366,0.53780396,952.35,100.1163,REF,-4.80956541,3.59752e-05,-3.83128051,0.8520376199999999
acetylacetone,308.15,-0.6150239,0.28561606,957.33,100.1163,REF,-5.07786566,1.93958e-05,-4.09731341,0.9006399599999999
acetylacetone,303.15,-0.92174984,0.02846365,962.33,100.1163,REF,-5.35571647,1.02296e-05,-4.37289737,0.95021349
acetylacetone,298.15,-1.23438398,-0.23374694,967.37,100.1163,REF,-5.64350951,5.273109e-06,-4.65842357,1.00063704
benzene,403.15,4.12814181,5.70923851,775.84,78.1124,REF,-1.98764915,0.0299903146,-0.99596447,1.5810966999999998
benzene,398.15,3.9249904,5.62712234,779.96,78.1124,REF,-2.19962209,0.0185506791,-1.20357341,1.7021319399999997
benzene,393.15,3.71738099,5.52747857,784.12,78.1124,REF,-2.40972152,0.0114899015,-1.41010281,1.8100975800000003
benzene,388.15,3.50516833,5.4156751,788.3,78.1124,REF,-2.62097918,0.0070849428,-1.61826337,1.9105067699999996
benzene,383.15,3.28820878,5.29520153,792.52,78.1124,REF,-2.83551277,0.0043311141,-1.82998931,2.0069927499999998
benzene,378.15,3.06636144,5.16840769,796.78,78.1124,REF,-3.05489172,0.002616472,-2.04673971,2.1020462500000003
benzene,373.15,2.83948933,5.03690645,801.06,78.1124,REF,-3.28033567,0.0015580367,-2.26966572,2.19741712
benzene,368.15,2.6074606,4.90182338,805.38,78.1124,REF,-3.51283816,0.00091256,-2.49971758,2.2943627799999997
benzene,363.15,2.37014979,4.76394513,809.74,78.1124,REF,-3.75323965,0.0005247734,-2.7377082,2.3937953399999996
benzene,358.15,2.12743908,4.62382161,814.13,78.1124,REF,-4.00227843,0.0002958006,-2.98435832,2.4963825300000004
benzene,353.15,1.87921951,4.48183477,818.55,78.1124,REF,-4.26062518,0.0001631889,-3.24032753,2.60261526
benzene,348.15,1.62539208,4.33824703,823.01,78.1124,REF,-4.52890778,8.79892e-05,-3.5062368,2.7128549499999997
benzene,343.15,1.3658688,4.19323624,827.51,78.1124,REF,-4.80772988,4.63041e-05,-3.7826855,2.8273674399999997
benzene,338.15,1.10057361,4.04692066,832.04,78.1124,REF,-5.09768458,2.37504e-05,-4.07026416,2.9463470499999995
benzene,333.15,0.82944309,3.89937717,836.61,78.1124,REF,-5.39936517,1.18575e-05,-4.36956454,3.0699340800000003
benzene,328.15,0.55242703,3.75065426,841.21,78.1124,REF,-5.71337337,5.754236e-06,-4.68118747,3.19822723
benzene,323.15,0.26948871,3.60078118,845.86,78.1124,REF,-6.04032603,2.710416e-06,-5.00574927,3.3312924699999997
benzene,318.15,-0.01939498,3.44977438,850.54,78.1124,REF,-6.38086061,1.237376e-06,-5.34388712,3.46916936
benzene,313.15,-0.31423366,3.29764174,855.26,78.1124,REF,-6.73563993,5.466667e-07,-5.69626365,3.6118754
benzene,308.15,-0.6150239,3.14438552,860.01,78.1124,REF,-7.10535654,2.333491e-07,-6.06357134,3.75940942
benzene,303.15,-0.92174984,2.99000458,864.81,78.1124,REF,-7.49073728,9.607833e-08,-6.44653694,3.91175442
