Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,x,delta_mu
propanol,403.15,4.12814181,4.08897184,700.0,60.0953,SLE,-0.3377696,0.7666665527,0.4902981,0.45944169,-0.039169969999999665
propanol,398.15,3.9249904,3.87839531,703.8,60.0953,SLE,-0.37569541,0.7376120201,0.47019393,0.42102181,-0.04659508999999984
propanol,393.15,3.71738099,3.66297493,707.63,60.0953,SLE,-0.41442393,0.707697362,0.44881137,0.38510227,-0.054406060000000256
propanol,388.15,3.50516833,3.44263338,711.49,60.0953,SLE,-0.45402743,0.6769716575,0.42607027,0.35153824,-0.06253494999999987
propanol,383.15,3.28820878,3.21729736,715.38,60.0953,SLE,-0.49458344,0.6454972678,0.40188477,0.32019649,-0.07091142000000028
propanol,378.15,3.06636144,2.98689815,719.31,60.0953,SLE,-0.53617476,0.613351371,0.3761632,0.29095461,-0.07946329000000008
propanol,373.15,2.83948933,2.7513676,723.28,60.0953,SLE,-0.57888678,0.5806294806,0.34881003,0.26370188,-0.08812173000000012
propanol,368.15,2.6074606,2.51064339,727.28,60.0953,SLE,-0.62281003,0.547444527,0.31972431,0.23833617,-0.09681721000000021
propanol,363.15,2.37014979,2.26467423,731.31,60.0953,SLE,-0.66804292,0.5139255013,0.28879783,0.21476182,-0.10547556000000036
propanol,358.15,2.12743908,2.01340685,735.38,60.0953,SLE,-0.71468353,0.4802236433,0.25592137,0.192893,-0.11403222999999985
propanol,353.15,1.87921951,1.7567986,739.49,60.0953,SLE,-0.76283668,0.4465063713,0.22097997,0.1726487,-0.12242091
propanol,348.15,1.62539208,1.494815,743.63,60.0953,SLE,-0.81261208,0.4129570722,0.18385462,0.15395292,-0.1305770799999999
propanol,343.15,1.3658688,1.22742824,747.82,60.0953,SLE,-0.86412311,0.3797733003,0.14442373,0.13673412,-0.13844056000000005
propanol,338.15,1.10057361,0.95461688,752.04,60.0953,SLE,-0.91748621,0.3471632768,0.10256417,0.12092436,-0.1459567300000001
propanol,333.15,0.82944309,0.67636897,756.29,60.0953,SLE,-0.97282269,0.315339887,0.05815031,0.10645776,-0.1530741200000001
propanol,328.15,0.55242703,0.39267673,760.59,60.0953,SLE,-1.03025511,0.2845169823,0.01105765,0.09327063,-0.15975030000000007
propanol,323.15,0.26948871,0.10354213,764.92,60.0953,SLE,-1.08991087,0.2549007322,-0.03883975,0.08129973,-0.16594658
propanol,318.15,-0.01939498,-0.19103053,769.3,60.0953,SLE,-1.15191738,0.2266851847,-0.09166461,0.07048271,-0.17163555
propanol,313.15,-0.31423366,-0.49103187,773.71,60.0953,SLE,-1.21640399,0.2000440919,-0.1475377,0.06075696,-0.17679820999999996
propanol,308.15,-0.6150239,-0.79644857,778.17,60.0953,SLE,-1.28350151,0.1751246617,-0.20657718,0.05205932,-0.18142467000000007
propanol,303.15,-0.92174984,-1.10726673,782.67,60.0953,SLE,-1.35334022,0.1520427396,-0.26889668,0.04432613,-0.18551689000000005
propanol,298.15,-1.23438398,-1.42346842,787.21,60.0953,SLE,-1.42605293,0.1308776874,-0.33460816,0.03749273,-0.18908444000000002
2-propanol,403.15,4.12814181,4.08956005,692.67,60.0953,SLE,-0.33808832,0.7664236689,0.48867979,0.45910463,-0.038581759999999576
2-propanol,398.15,3.9249904,3.87908149,696.44,60.0953,SLE,-0.37607189,0.7373222248,0.46837851,0.42065699,-0.04590891000000008
2-propanol,393.15,3.71738099,3.66375534,700.23,60.0953,SLE,-0.41485756,0.7073614496,0.44679676,0.38471794,-0.0536256500000003
2-propanol,388.15,3.50516833,3.4434989,704.06,60.0953,SLE,-0.45451454,0.6765934128,0.42385689,0.35114417,-0.06166943000000025
2-propanol,383.15,3.28820878,3.21823241,707.93,60.0953,SLE,-0.49511655,0.6450840713,0.39947631,0.31980367,-0.06997637000000001
2-propanol,378.15,3.06636144,2.98788123,711.82,60.0953,SLE,-0.53674267,0.6129140295,0.37356696,0.29057439,-0.07848020999999994
2-propanol,373.15,2.83948933,2.75236654,715.76,60.0953,SLE,-0.57947158,0.5801842067,0.34603931,0.26334702,-0.08712279
2-propanol,368.15,2.6074606,2.51161781,719.73,60.0953,SLE,-0.62338823,0.5470115272,0.31679823,0.23801908,-0.09584278999999984
2-propanol,363.15,2.37014979,2.2655689,723.73,60.0953,SLE,-0.66858111,0.51353133,0.28574495,0.21449585,-0.10458089000000026
2-propanol,358.15,2.12743908,2.01415761,727.77,60.0953,SLE,-0.71514145,0.4798976045,0.25277808,0.19268972,-0.11328147
2-propanol,353.15,1.87921951,1.7573262,731.84,60.0953,SLE,-0.76316304,0.4462819257,0.21779422,0.17251901,-0.12189330999999992
2-propanol,348.15,1.62539208,1.49503,735.96,60.0953,SLE,-0.81274699,0.4128680698,0.18068462,0.1539051,-0.13036207999999982
2-propanol,343.15,1.3658688,1.22722139,740.11,60.0953,SLE,-0.86399143,0.379856038,0.14134374,0.13677558,-0.13864741000000014
2-propanol,338.15,1.10057361,0.95386968,744.3,60.0953,SLE,-0.91700351,0.3474499097,0.09966025,0.12105884,-0.14670393000000004
2-propanol,333.15,0.82944309,0.67494834,748.52,60.0953,SLE,-0.97189117,0.3158584417,0.05552395,0.10668634,-0.15449475000000001
2-propanol,328.15,0.55242703,0.3904409,752.79,60.0953,SLE,-1.02876671,0.2852871701,0.00882333,0.09359083,-0.16198613000000006
2-propanol,323.15,0.26948871,0.10033753,757.1,60.0953,SLE,-1.08774455,0.2559335492,-0.04055226,0.08170628,-0.16915118
2-propanol,318.15,-0.01939498,-0.19535858,761.44,60.0953,SLE,-1.14894563,0.2279785964,-0.09271612,0.07096666,-0.1759636
2-propanol,313.15,-0.31423366,-0.49664097,765.83,60.0953,SLE,-1.21249113,0.2015840159,-0.14777863,0.06130683,-0.18240731
2-propanol,308.15,-0.6150239,-0.80349639,770.25,60.0953,SLE,-1.27850524,0.1768852789,-0.20584947,0.05266169,-0.18847249
2-propanol,303.15,-0.92174984,-1.11590138,774.72,60.0953,SLE,-1.34711808,0.1539862866,-0.26704046,0.04496576,-0.1941515399999999
