Solvent,Temperature_K,mu_self_REF,mu_solv_REF,Solvent_density_REF,Solvent_MolWeight_REF,Method_REF,log10_x_REF,w_REF,log10_S_REF,delta_mu_REF,mu_self_SLE,mu_solv_SLE,Solvent_density_SLE,Solvent_MolWeight_SLE,Method_SLE,log10_x_SLE,w_SLE,log10_S_SLE,x,delta_mu_SLE,error_log10_x,error_log10_S,error_w,error_delta_mu
propanol,403.15,-22.12730948,-21.22614183,700.0,60.0953,REF,-2.66637974,0.0352772631,-1.60828503,0.9011676500000014,-22.12730948,-21.2349128,700.0,60.0953,SLE,-2.55819618,0.0448352616,-1.50238325,0.00276569,0.8923966800000009,0.10818356000000007,0.10590177999999995,0.009557998500000005,-0.008770970000000489
propanol,398.15,-22.45099291,-21.40910482,703.8,60.0953,REF,-2.8419653,0.0238083856,-1.77882863,1.0418880900000005,-22.45099291,-21.41774875,703.8,60.0953,SLE,-2.70464048,0.0323930245,-1.64352086,0.00197406,1.0332441599999989,0.1373248199999999,0.13530777000000005,0.0085846389,-0.008643930000001632
propanol,393.15,-22.77754467,-21.59642839,707.63,60.0953,REF,-3.02118748,0.0158785144,-1.95385587,1.1811162800000012,-22.77754467,-21.6044072,707.63,60.0953,SLE,-2.85427961,0.0231572892,-1.78863946,0.00139869,1.1731374700000003,0.16690787000000018,0.16521640999999998,0.0072787747999999985,-0.007978810000000891
propanol,388.15,-23.10693885,-21.78810014,711.49,60.0953,REF,-3.20417918,0.0104726102,-2.13324072,1.3188387099999979,-23.10693885,-21.79511904,711.49,60.0953,SLE,-3.00709252,0.016394223,-1.9375199,0.0009838,1.3118198099999994,0.19708666000000008,0.1957208199999998,0.0059216128,-0.007018899999998496
propanol,383.15,-23.4391479,-21.98408378,715.38,60.0953,REF,-3.39109299,0.0068334564,-2.3169507,1.4550641199999994,-23.4391479,-21.99002942,715.38,60.0953,SLE,-3.16310501,0.0115001849,-2.09003386,0.0006869,1.4491184799999992,0.22798797999999998,0.2269168399999999,0.0046667285,-0.005945640000000196
propanol,378.15,-23.77414272,-22.18436663,719.31,60.0953,REF,-3.58207497,0.0044121791,-2.50500143,1.5897760900000009,-23.77414272,-22.18924931,719.31,60.0953,SLE,-3.32236307,0.0079963502,-2.24610971,0.00047603,1.5848934099999994,0.25971189999999966,0.25889172000000027,0.0035841711,-0.004882680000001471
propanol,373.15,-24.11189277,-22.38897967,723.28,60.0953,REF,-3.77725263,0.0028192178,-2.69742954,1.7229130999999995,-24.11189277,-22.39288419,723.28,60.0953,SLE,-3.48491756,0.0055126287,-2.40570975,0.0003274,1.7190085800000006,0.29233507000000003,0.2917197899999997,0.0026934109,-0.0039045199999989677
propanol,368.15,-24.45236622,-22.5980031,727.28,60.0953,REF,-3.97673042,0.0017826879,-2.89427673,1.8543631199999986,-24.45236622,-22.60105332,727.28,60.0953,SLE,-3.65081313,0.0037685907,-2.56881274,0.00022345,1.8513129,0.32591729,0.32546399000000026,0.0019859027999999997,-0.00305021999999866
propanol,363.15,-24.79553009,-22.81156382,731.31,60.0953,REF,-4.18058974,0.0011155498,-3.09558155,1.9839662699999998,-24.79553009,-22.81389701,731.31,60.0953,SLE,-3.82008355,0.0025550883,-2.73540391,0.00015133,1.9816330799999982,0.36050619000000017,0.36017763999999985,0.0014395385000000001,-0.0023331900000016503
propanol,358.15,-25.14135041,-23.02982829,735.38,60.0953,REF,-4.3888918,0.0006908132,-3.30137621,2.11152212,-25.14135041,-23.03157899,735.38,60.0953,SLE,-3.9927496,0.0017182348,-2.90546858,0.00010168,2.1097714200000013,0.3961421999999999,0.39590762999999995,0.0010274216,-0.0017506999999987727
propanol,353.15,-25.4897924,-23.25299419,739.49,60.0953,REF,-4.60168144,0.0004233313,-3.51168614,2.23679821,-25.4897924,-23.25428477,739.49,60.0953,SLE,-4.16881925,0.0011461645,-3.07898909,6.779e-05,2.235507629999997,0.4328621899999998,0.43269705000000025,0.0007228332,-0.0012905800000027057
propanol,348.15,-25.84082069,-23.48128157,743.63,60.0953,REF,-4.81899168,0.0002567073,-3.72653149,2.359539120000001,-25.84082069,-23.48221723,743.63,60.0953,SLE,-4.34828963,0.0007584643,-3.25594419,4.484e-05,2.358603460000001,0.47070204999999987,0.47058730000000004,0.000501757,-0.0009356599999996718
propanol,343.15,-26.1943995,-23.71492449,747.82,60.0953,REF,-5.04084825,0.0001540365,-3.94592957,2.479475009999998,-26.1943995,-23.71559232,747.82,60.0953,SLE,-4.53114918,0.0004979458,-3.43630924,2.943e-05,2.4788071800000004,0.5096990699999999,0.5096203300000002,0.0003439093,-0.0006678299999975934
propanol,338.15,-26.55049287,-23.95416373,752.04,60.0953,REF,-5.26727398,9.14584e-05,-4.16989771,2.596329139999998,-26.55049287,-23.95463338,752.04,60.0953,SLE,-4.71738073,0.0003243557,-3.62005785,1.917e-05,2.5958594899999987,0.5498932499999993,0.5498398600000001,0.00023289729999999997,-0.000469649999999433
propanol,333.15,-26.90906493,-24.19924054,756.29,60.0953,REF,-5.49829281,5.37304e-05,-4.39845634,2.709824389999998,-26.90906493,-24.19956619,756.29,60.0953,SLE,-4.90696455,0.000209645,-3.80716387,1.239e-05,2.709498740000001,0.59132826,0.59129247,0.00015591459999999999,-0.00032564999999706856
propanol,328.15,-27.27008015,-24.45039161,760.59,60.0953,REF,-5.73393338,3.12312e-05,-4.63163184,2.819688539999998,-27.27008015,-24.45061438,760.59,60.0953,SLE,-5.09988134,0.0001344617,-3.99760353,7.95e-06,2.819465769999997,0.6340520400000003,0.6340283099999997,0.0001032305,-0.00022277000000059388
propanol,323.15,-27.63350359,-24.707845,764.92,60.0953,REF,-5.97423237,1.79595e-05,-4.86945946,2.925658590000001,-27.63350359,-24.70799542,764.92,60.0953,SLE,-5.29611522,8.55824e-05,-4.19135788,5.06e-06,2.9255081700000005,0.6781171500000003,0.6781015799999999,6.762289999999999e-05,-0.0001504200000006506
propanol,318.15,-27.99930125,-24.97181713,769.3,60.0953,REF,-6.2192374,1.02163e-05,-5.11198591,3.027484119999997,-27.99930125,-24.97191742,769.3,60.0953,SLE,-5.49565634,5.40576e-05,-4.38841496,3.19e-06,3.027383829999998,0.7235810599999999,0.7235709499999992,4.38413e-05,-0.00010028999999889265
propanol,313.15,-28.36744033,-25.24251056,773.71,60.0953,REF,-6.46900962,5.748081e-06,-5.35927176,3.1249297700000014,-28.36744033,-25.24257662,773.71,60.0953,SLE,-5.69850337,3.38858e-05,-4.58877202,2e-06,3.1248637099999996,0.7705062499999995,0.77049974,2.8137719e-05,-6.606000000175527e-05
propanol,308.15,-28.73788959,-25.52011245,778.17,60.0953,REF,-6.72362619,3.198213e-06,-5.6113938,3.2177771400000026,-28.73788959,-25.52015545,778.17,60.0953,SLE,-5.90466576,2.10795e-05,-4.79243752,1.25e-06,3.217734140000001,0.8189604299999997,0.8189562800000001,1.7881287e-05,-4.300000000156956e-05
propanol,303.15,-29.11061966,-25.80479363,782.67,60.0953,REF,-6.9831825,1.759347e-06,-5.86844718,3.305826030000002,-29.11061966,-25.80482129,782.67,60.0953,SLE,-6.11416581,1.30126e-05,-4.99943309,7.7e-07,3.3057983700000015,0.8690166899999996,0.8690140900000003,1.1253253e-05,-2.7660000000651053e-05
propanol,298.15,-29.48560345,-26.09670803,787.21,60.0953,REF,-7.24779437,9.566213e-07,-6.13054751,3.3888954200000008,-29.48560345,-26.09672561,787.21,60.0953,SLE,-6.3270406,7.970599e-06,-5.20979537,4.7e-07,3.3888778399999993,0.9207537700000001,0.9207521400000003,7.0139777e-06,-1.7580000001515828e-05
2-propanol,403.15,-22.12730948,-21.30457501,692.67,60.0953,REF,-2.62386151,0.0387733148,-1.57106445,0.8227344700000003,-22.12730948,-21.31415893,692.67,60.0953,SLE,-2.5152559,0.0492787949,-1.46495215,0.00305312,0.8131505499999996,0.10860560999999969,0.10611229999999994,0.010505480099999999,-0.009583920000000745
2-propanol,398.15,-22.45099291,-21.48639313,696.44,60.0953,REF,-2.79954156,0.0261912672,-1.74145849,0.9645997800000004,-22.45099291,-21.49587303,696.44,60.0953,SLE,-2.66177647,0.0356405643,-1.60589682,0.00217883,0.9551198800000016,0.13776509000000026,0.1355616700000002,0.009449297099999997,-0.009479899999998764
2-propanol,393.15,-22.77754467,-21.67264503,700.23,60.0953,REF,-2.97881992,0.0174788577,-1.9163735,1.1048996399999993,-22.77754467,-21.68141768,700.23,60.0953,SLE,-2.81148934,0.0254975969,-1.75088993,0.00154351,1.096126990000002,0.16733057999999978,0.1654835699999999,0.0080187392,-0.008772649999997384
2-propanol,388.15,-23.10693885,-21.86332872,704.06,60.0953,REF,-3.16182218,0.0115338354,-2.09565328,1.2436101300000004,-23.10693885,-21.87105949,704.06,60.0953,SLE,-2.96435325,0.0180608359,-1.89967526,0.00108554,1.2358793599999984,0.19746893000000032,0.19597802000000009,0.0065270004999999996,-0.007730770000001996
2-propanol,383.15,-23.4391479,-22.05840014,707.93,60.0953,REF,-3.34870356,0.0075291102,-2.27925147,1.3807477599999984,-23.4391479,-22.06495787,707.93,60.0953,SLE,-3.120385,0.0126747483,-2.05210184,0.00075791,1.3741900299999976,0.22831855999999995,0.22714963,0.0051456381,-0.0065577300000008165
2-propanol,378.15,-23.77414272,-22.25783224,711.82,60.0953,REF,-3.53961673,0.004863246,-2.46717871,1.5163104800000013,-23.77414272,-22.26322359,711.82,60.0953,SLE,-3.27962941,0.0088163277,-2.20808632,0.00052526,1.5109191300000013,0.25998732,0.2590923900000002,0.0039530817,-0.005391350000000017
2-propanol,373.15,-24.11189277,-22.4616402,715.76,60.0953,REF,-3.734697,0.003108606,-2.65947129,1.6502525699999993,-24.11189277,-22.46595555,715.76,60.0953,SLE,-3.44213988,0.0060799962,-2.36758552,0.00036129,1.6459372200000004,0.2925571200000001,0.29188576999999993,0.0029713902,-0.00431534999999883
2-propanol,368.15,-24.45236622,-22.66988936,719.73,60.0953,REF,-3.93405645,0.00196641,-2.85617303,1.7824768599999992,-24.45236622,-22.67326371,719.73,60.0953,SLE,-3.60796535,0.0041578336,-2.53057656,0.00024662,1.7791025099999977,0.32609109999999975,0.3255964699999998,0.0021914236,-0.0033743500000014137
2-propanol,363.15,-24.79553009,-22.88269352,723.73,60.0953,REF,-4.13778353,0.0012309714,-3.05732569,1.9128365699999996,-24.79553009,-22.88527683,723.73,60.0953,SLE,-3.77714545,0.0028199118,-2.69704617,0.00016705,1.910253260000001,0.3606380800000002,0.36027951999999974,0.0015889404,-0.002583309999998562
2-propanol,358.15,-25.14135041,-23.1002075,727.77,60.0953,REF,-4.34594594,0.0007625655,-3.26296543,2.0411429100000014,-25.14135041,-23.10214755,727.77,60.0953,SLE,-3.94970687,0.0018969335,-2.86698242,0.00011228,2.0392028599999996,0.39623907,0.39598301000000014,0.0011343679999999997,-0.0019400500000017473
2-propanol,353.15,-25.4897924,-23.32261856,731.84,60.0953,REF,-4.55859467,0.000467465,-3.47312211,2.1671738400000002,-25.4897924,-23.32404983,731.84,60.0953,SLE,-4.12566413,0.0012657652,-3.04037189,7.487e-05,2.165742569999999,0.4329305400000001,0.43275021999999996,0.0007983001999999999,-0.0014312700000012057
2-propanol,348.15,-25.84082069,-23.5501368,735.96,60.0953,REF,-4.77576892,0.0002835633,-3.68782093,2.2906838900000004,-25.84082069,-23.55117531,735.96,60.0953,SLE,-4.3050211,0.0008378595,-3.21719842,4.954e-05,2.2896453799999996,0.4707478199999997,0.4706225100000001,0.0005542962,-0.0010385100000007697
