Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,delta_mu
propanol,403.15,-22.12730948,-21.22614183,700.0,60.0953,REF,-2.66637974,0.0352772631,-1.60828503,0.9011676500000014
propanol,398.15,-22.45099291,-21.40910482,703.8,60.0953,REF,-2.8419653,0.0238083856,-1.77882863,1.0418880900000005
propanol,393.15,-22.77754467,-21.59642839,707.63,60.0953,REF,-3.02118748,0.0158785144,-1.95385587,1.1811162800000012
propanol,388.15,-23.10693885,-21.78810014,711.49,60.0953,REF,-3.20417918,0.0104726102,-2.13324072,1.3188387099999979
propanol,383.15,-23.4391479,-21.98408378,715.38,60.0953,REF,-3.39109299,0.0068334564,-2.3169507,1.4550641199999994
propanol,378.15,-23.77414272,-22.18436663,719.31,60.0953,REF,-3.58207497,0.0044121791,-2.50500143,1.5897760900000009
propanol,373.15,-24.11189277,-22.38897967,723.28,60.0953,REF,-3.77725263,0.0028192178,-2.69742954,1.7229130999999995
propanol,368.15,-24.45236622,-22.5980031,727.28,60.0953,REF,-3.97673042,0.0017826879,-2.89427673,1.8543631199999986
propanol,363.15,-24.79553009,-22.81156382,731.31,60.0953,REF,-4.18058974,0.0011155498,-3.09558155,1.9839662699999998
propanol,358.15,-25.14135041,-23.02982829,735.38,60.0953,REF,-4.3888918,0.0006908132,-3.30137621,2.11152212
propanol,353.15,-25.4897924,-23.25299419,739.49,60.0953,REF,-4.60168144,0.0004233313,-3.51168614,2.23679821
propanol,348.15,-25.84082069,-23.48128157,743.63,60.0953,REF,-4.81899168,0.0002567073,-3.72653149,2.359539120000001
propanol,343.15,-26.1943995,-23.71492449,747.82,60.0953,REF,-5.04084825,0.0001540365,-3.94592957,2.479475009999998
propanol,338.15,-26.55049287,-23.95416373,752.04,60.0953,REF,-5.26727398,9.14584e-05,-4.16989771,2.596329139999998
propanol,333.15,-26.90906493,-24.19924054,756.29,60.0953,REF,-5.49829281,5.37304e-05,-4.39845634,2.709824389999998
propanol,328.15,-27.27008015,-24.45039161,760.59,60.0953,REF,-5.73393338,3.12312e-05,-4.63163184,2.819688539999998
propanol,323.15,-27.63350359,-24.707845,764.92,60.0953,REF,-5.97423237,1.79595e-05,-4.86945946,2.925658590000001
propanol,318.15,-27.99930125,-24.97181713,769.3,60.0953,REF,-6.2192374,1.02163e-05,-5.11198591,3.027484119999997
propanol,313.15,-28.36744033,-25.24251056,773.71,60.0953,REF,-6.46900962,5.748081e-06,-5.35927176,3.1249297700000014
propanol,308.15,-28.73788959,-25.52011245,778.17,60.0953,REF,-6.72362619,3.198213e-06,-5.6113938,3.2177771400000026
propanol,303.15,-29.11061966,-25.80479363,782.67,60.0953,REF,-6.9831825,1.759347e-06,-5.86844718,3.305826030000002
propanol,298.15,-29.48560345,-26.09670803,787.21,60.0953,REF,-7.24779437,9.566213e-07,-6.13054751,3.3888954200000008
2-propanol,403.15,-22.12730948,-21.30457501,692.67,60.0953,REF,-2.62386151,0.0387733148,-1.57106445,0.8227344700000003
