Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,x,delta_mu
propanol,403.15,-22.12730948,-21.2349128,700.0,60.0953,SLE,-2.55819618,0.0448352616,-1.50238325,0.00276569,0.8923966800000009
propanol,398.15,-22.45099291,-21.41774875,703.8,60.0953,SLE,-2.70464048,0.0323930245,-1.64352086,0.00197406,1.0332441599999989
propanol,393.15,-22.77754467,-21.6044072,707.63,60.0953,SLE,-2.85427961,0.0231572892,-1.78863946,0.00139869,1.1731374700000003
propanol,388.15,-23.10693885,-21.79511904,711.49,60.0953,SLE,-3.00709252,0.016394223,-1.9375199,0.0009838,1.3118198099999994
propanol,383.15,-23.4391479,-21.99002942,715.38,60.0953,SLE,-3.16310501,0.0115001849,-2.09003386,0.0006869,1.4491184799999992
propanol,378.15,-23.77414272,-22.18924931,719.31,60.0953,SLE,-3.32236307,0.0079963502,-2.24610971,0.00047603,1.5848934099999994
propanol,373.15,-24.11189277,-22.39288419,723.28,60.0953,SLE,-3.48491756,0.0055126287,-2.40570975,0.0003274,1.7190085800000006
propanol,368.15,-24.45236622,-22.60105332,727.28,60.0953,SLE,-3.65081313,0.0037685907,-2.56881274,0.00022345,1.8513129
propanol,363.15,-24.79553009,-22.81389701,731.31,60.0953,SLE,-3.82008355,0.0025550883,-2.73540391,0.00015133,1.9816330799999982
propanol,358.15,-25.14135041,-23.03157899,735.38,60.0953,SLE,-3.9927496,0.0017182348,-2.90546858,0.00010168,2.1097714200000013
propanol,353.15,-25.4897924,-23.25428477,739.49,60.0953,SLE,-4.16881925,0.0011461645,-3.07898909,6.779e-05,2.235507629999997
propanol,348.15,-25.84082069,-23.48221723,743.63,60.0953,SLE,-4.34828963,0.0007584643,-3.25594419,4.484e-05,2.358603460000001
propanol,343.15,-26.1943995,-23.71559232,747.82,60.0953,SLE,-4.53114918,0.0004979458,-3.43630924,2.943e-05,2.4788071800000004
propanol,338.15,-26.55049287,-23.95463338,752.04,60.0953,SLE,-4.71738073,0.0003243557,-3.62005785,1.917e-05,2.5958594899999987
propanol,333.15,-26.90906493,-24.19956619,756.29,60.0953,SLE,-4.90696455,0.000209645,-3.80716387,1.239e-05,2.709498740000001
propanol,328.15,-27.27008015,-24.45061438,760.59,60.0953,SLE,-5.09988134,0.0001344617,-3.99760353,7.95e-06,2.819465769999997
