Solvent,Temperature_K,mu_self_REF,mu_solv_REF,Solvent_density_REF,Solvent_MolWeight_REF,Method_REF,log10_x_REF,w_REF,log10_S_REF,delta_mu_REF,mu_self_SLE,mu_solv_SLE,Solvent_density_SLE,Solvent_MolWeight_SLE,Method_SLE,log10_x_SLE,w_SLE,log10_S_SLE,x,delta_mu_SLE,error_log10_x,error_log10_S,error_w,error_delta_mu
propanol,403.15,-14.71611476,-13.70714133,700.0,60.0953,REF,-1.6382207,0.1966739036,-0.62846997,1.0089734299999993,-14.71611476,-13.99483166,700.0,60.0953,SLE,-1.16988575,0.4299432563,-0.25239208,0.06762609,0.7212831000000008,0.46833495,0.37607789,0.23326935270000002,-0.28769032999999844
propanol,398.15,-14.95115832,-13.81886401,703.8,60.0953,REF,-1.77535541,0.1506729369,-0.748691,1.132294309999999,-14.95115832,-14.06567833,703.8,60.0953,SLE,-1.31174908,0.3477950633,-0.35536547,0.04878102,0.8854799899999986,0.46360632999999996,0.39332553,0.1971221264,-0.24681432000000036
propanol,393.15,-15.18811761,-13.94011636,707.63,60.0953,REF,-1.91174575,0.1142575835,-0.87183288,1.2480012500000015,-15.18811761,-14.14429779,707.63,60.0953,SLE,-1.45396805,0.2747935819,-0.46674253,0.03515863,1.0438198200000013,0.45777769999999984,0.40509035000000004,0.1605359984,-0.20418143000000022
propanol,388.15,-15.42696862,-14.07035813,711.49,60.0953,REF,-2.04765364,0.0859406868,-0.99726442,1.3566104899999996,-15.42696862,-14.23608105,711.49,60.0953,SLE,-1.59350893,0.2138782699,-0.58250941,0.02549712,1.190887570000001,0.45414471,0.41475501000000004,0.1279375831,-0.16572291999999855
propanol,383.15,-15.66768595,-14.20882121,715.38,60.0953,REF,-2.18348381,0.064198467,-1.1246925,1.4588647399999992,-15.66768595,-14.34204537,715.38,60.0953,SLE,-1.72967251,0.1648948112,-0.7004185,0.01863492,1.32564058,0.4538112999999997,0.42427400000000004,0.1006963442,-0.13322415999999926
propanol,378.15,-15.91024291,-14.35474419,719.31,60.0953,REF,-2.31965781,0.0476635951,-1.25401024,1.5554987199999992,-15.91024291,-14.46128847,719.31,60.0953,SLE,-1.86283075,0.1263239765,-0.81943289,0.01371416,1.4489544399999996,0.45682705999999973,0.43457735,0.07866038139999999,-0.1065442799999996
propanol,373.15,-16.15461156,-14.50744982,723.28,60.0953,REF,-2.45656973,0.0351854796,-1.3852162,1.6471617399999996,-16.15461156,-14.5923632,723.28,60.0953,SLE,-1.99369382,0.0963204553,-0.93916962,0.01014626,1.56224836,0.46287590999999995,0.44604657999999986,0.0611349757,-0.0849133799999997
propanol,368.15,-16.40076282,-14.66638177,727.28,60.0953,REF,-2.59456265,0.025831313,-1.51835847,1.7343810500000014,-16.40076282,-14.73384326,727.28,60.0953,SLE,-2.1229974,0.0731579347,-1.05956112,0.0075336,1.6669195600000002,0.4715652499999998,0.45879735,0.047326621699999995,-0.06746149000000123
propanol,363.15,-16.64866657,-14.83109643,731.31,60.0953,REF,-2.73393005,0.0188612916,-1.65351044,1.817570139999999,-16.64866657,-14.88452166,731.31,60.0953,SLE,-2.2513852,0.0553714715,-1.18066963,0.00560551,1.7641449099999988,0.48254485,0.4728408100000001,0.036510179899999995,-0.05342523000000021
propanol,358.15,-16.89829177,-15.00125667,735.38,60.0953,REF,-2.87491627,0.0136975347,-1.79075202,1.8970351,-16.89829177,-15.04341276,735.38,60.0953,SLE,-2.37940125,0.0417690494,-1.30261704,0.00417445,1.8548790099999994,0.49551502000000003,0.4881349800000001,0.0280715147,-0.042156090000000646
propanol,353.15,-17.14960654,-15.17661731,739.49,60.0953,REF,-3.01772207,0.0098934082,-1.93016097,1.9729892300000014,-17.14960654,-15.20974634,739.49,60.0953,SLE,-2.50748669,0.0314034339,-1.425536,0.00310823,1.9398602,0.5102353800000001,0.5046249700000001,0.021510025699999998,-0.033129030000001336
propanol,348.15,-17.40257834,-15.35700638,743.63,60.0953,REF,-3.16251338,0.0071065207,-2.07181114,2.045571960000002,-17.40257834,-15.38292595,743.63,60.0953,SLE,-2.63599855,0.0235306682,-1.54955608,0.00231207,2.019652390000001,0.52651483,0.52225506,0.0164241475,-0.025919570000001002
propanol,343.15,-17.65717409,-15.54231422,747.82,60.0953,REF,-3.30942576,0.0050762848,-2.21576919,2.114859870000002,-17.65717409,-15.56249532,747.82,60.0953,SLE,-2.76522508,0.0175707958,-1.67479644,0.00171702,2.0946787700000016,0.5442006799999999,0.5409727500000001,0.012494511,-0.020181100000000285
propanol,338.15,-17.91336033,-15.7324795,752.04,60.0953,REF,-3.4585713,0.0036056203,-2.36209574,2.1808808299999995,-17.91336033,-15.74811176,752.04,60.0953,SLE,-2.89539803,0.0130739974,-1.80136224,0.00127234,2.1652485699999993,0.5631732700000001,0.5607335,0.009468377100000001,-0.015632260000000286
propanol,333.15,-18.17110338,-15.9274781,756.29,60.0953,REF,-3.6100443,0.0025463842,-2.51084671,2.2436252800000016,-18.17110338,-15.93952159,756.29,60.0953,SLE,-3.02670453,0.0096926599,-1.92934539,0.00094036,2.2315817900000017,0.5833397700000003,0.5815013200000001,0.0071462756999999995,-0.012043489999999935
propanol,328.15,-18.43036953,-16.12731334,760.59,60.0953,REF,-3.76392647,0.0017878871,-2.6620753,2.3030561899999995,-18.43036953,-16.13653954,760.59,60.0953,SLE,-3.15929759,0.0071589954,-2.05882701,0.00069295,2.293829989999999,0.6046288799999999,0.6032482900000002,0.0053711083,-0.009226200000000517
propanol,323.15,-18.69112519,-16.33200816,764.92,60.0953,REF,-3.92029141,0.0012479219,-2.815834,2.35911703,-18.69112519,-16.33903487,764.92,60.0953,SLE,-3.29330295,0.0052673653,-2.18987841,0.00050898,2.352090320000002,0.6269884599999997,0.6259555900000002,0.0040194434,-0.007026709999998104
propanol,318.15,-18.95333714,-16.54159774,769.3,60.0953,REF,-4.0792092,0.0008658043,-2.97217735,2.4117393999999983,-18.95333714,-16.54691733,769.3,60.0953,SLE,-3.42882673,0.0038603283,-2.3225645,0.00037254,2.406419809999999,0.6503824700000003,0.64961285,0.002994524,-0.0053195899999991525
propanol,313.15,-19.21697271,-16.75612433,773.71,60.0953,REF,-4.24074982,0.0005970142,-3.13116388,2.4608483800000016,-19.21697271,-16.76012689,773.71,60.0953,SLE,-3.56596114,0.0028177361,-2.45694624,0.00027167,2.4568458200000016,0.6747886799999994,0.6742176399999997,0.0022207219,-0.004002559999999988
propanol,308.15,-19.48199998,-16.97563269,778.17,60.0953,REF,-4.40498657,0.0004090927,-3.29285859,2.50636729,-19.48199998,-16.97862543,778.17,60.0953,SLE,-3.70478945,0.0020482112,-2.59308326,0.00019734,2.50337455,0.7001971200000003,0.69977533,0.0016391185,-0.002992739999999827
propanol,303.15,-19.74838803,-17.20016651,782.67,60.0953,REF,-4.57199908,0.0002785226,-3.45733502,2.548221520000002,-19.74838803,-17.2023899,782.67,60.0953,SLE,-3.84539027,0.0014825056,-2.73103633,0.00014276,2.545998130000001,0.7266088100000001,0.7262986900000001,0.001203983,-0.0022233900000010465
propanol,298.15,-20.01610718,-17.42976572,787.21,60.0953,REF,-4.74187596,0.0001883732,-3.62467742,2.58634146,-20.01610718,-17.43140685,787.21,60.0953,SLE,-3.98784144,0.0010683361,-2.87086982,0.00010284,2.5847003300000004,0.7540345199999998,0.7538076,0.0008799629000000001,-0.0016411299999994355
2-propanol,403.15,-14.71611476,-13.80493362,692.67,60.0953,REF,-1.58520801,0.2171953448,-0.58613322,0.9111811400000001,-14.71611476,-14.09829248,692.67,60.0953,SLE,-1.11382451,0.4643225551,-0.21623465,0.07694413,0.6178222800000004,0.47138349999999996,0.36989857000000004,0.24712721029999998,-0.29335885999999967
2-propanol,398.15,-14.95115832,-13.9147299,696.44,60.0953,REF,-1.72273438,0.1671490936,-0.70521155,1.03642842,-14.95115832,-14.17521826,696.44,60.0953,SLE,-1.25164843,0.3816104957,-0.31292514,0.05602109,0.7759400599999999,0.47108595,0.39228641000000003,0.2144614021,-0.2604883600000001
2-propanol,393.15,-15.18811761,-14.03364417,700.23,60.0953,REF,-1.8597552,0.1271185932,-0.82778988,1.1544734400000003,-15.18811761,-14.25389211,700.23,60.0953,SLE,-1.39307283,0.3047627482,-0.42068288,0.04045081,0.9342255000000002,0.46668237,0.407107,0.177644155,-0.22024794000000014
2-propanol,388.15,-15.42696862,-14.16155523,704.06,60.0953,REF,-1.99630565,0.0957929276,-0.95296372,1.2654133900000009,-15.42696862,-14.34251309,704.06,60.0953,SLE,-1.533609,0.2386849014,-0.53487299,0.02926786,1.0844555299999996,0.46269665000000004,0.41809072999999997,0.14289197380000002,-0.18095786000000125
2-propanol,383.15,-15.66768595,-14.29787325,707.93,60.0953,REF,-2.13268928,0.0716479515,-1.08027599,1.3698126999999989,-15.66768595,-14.44430078,707.93,60.0953,SLE,-1.67137219,0.1846317352,-0.65234814,0.02131218,1.2233851699999985,0.4613170900000001,0.4279278500000001,0.1129837837,-0.14642753000000042
2-propanol,378.15,-15.91024291,-14.44189575,711.82,60.0953,REF,-2.26929,0.0532426914,-1.20952565,1.4683471599999987,-15.91024291,-14.55940621,711.82,60.0953,SLE,-1.80614983,0.1416799096,-0.77146341,0.01562608,1.3508366999999986,0.46314016999999974,0.43806224000000005,0.08843721819999999,-0.1175104600000001
2-propanol,373.15,-16.15461156,-14.59294317,715.76,60.0953,REF,-2.4064982,0.0393324034,-1.3406624,1.5616683899999995,-16.15461156,-14.68677848,715.76,60.0953,SLE,-1.9384209,0.1081160012,-0.89149675,0.01152336,1.4678330800000001,0.46807730000000025,0.4491656500000001,0.06878359780000001,-0.09383530999999934
2-propanol,368.15,-16.40076282,-14.75043441,719.73,60.0953,REF,-2.54466633,0.0288941591,-1.47370962,1.6503284100000002,-16.40076282,-14.82507609,719.73,60.0953,SLE,-2.06886219,0.08214877,-1.01221504,0.00853371,1.575686730000001,0.47580414000000015,0.4614945799999999,0.0532546109,-0.07464167999999916
2-propanol,363.15,-16.64866657,-14.91389039,723.73,60.0953,REF,-2.68410422,0.0211104818,-1.60873179,1.734776179999999,-16.64866657,-14.97305551,723.73,60.0953,SLE,-2.19812819,0.0621894408,-1.13360779,0.00633683,1.6756110599999996,0.4859760300000002,0.4751240000000001,0.041078959,-0.059165119999999405
2-propanol,358.15,-16.89829177,-15.08293838,727.77,60.0953,REF,-2.82507354,0.0153402261,-1.74580759,1.8153533900000003,-16.89829177,-15.12966252,727.77,60.0953,SLE,-2.3267939,0.0469197533,-1.25576707,0.00471201,1.76862925,0.4982796399999998,0.49004052,0.0315795272,-0.04672414000000025
2-propanol,353.15,-17.14960654,-15.25729739,731.84,60.0953,REF,-2.96779351,0.0110866825,-1.88501959,1.8923091500000009,-17.14960654,-15.29404847,731.84,60.0953,SLE,-2.45533928,0.035282126,-1.37882102,0.00350478,1.8555580700000007,0.5124542299999999,0.50619857,0.024195443499999997,-0.03675108000000016
