Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,delta_mu
propanol,403.15,-14.71611476,-13.70714133,700.0,60.0953,REF,-1.6382207,0.1966739036,-0.62846997,1.0089734299999993
propanol,398.15,-14.95115832,-13.81886401,703.8,60.0953,REF,-1.77535541,0.1506729369,-0.748691,1.132294309999999
propanol,393.15,-15.18811761,-13.94011636,707.63,60.0953,REF,-1.91174575,0.1142575835,-0.87183288,1.2480012500000015
propanol,388.15,-15.42696862,-14.07035813,711.49,60.0953,REF,-2.04765364,0.0859406868,-0.99726442,1.3566104899999996
propanol,383.15,-15.66768595,-14.20882121,715.38,60.0953,REF,-2.18348381,0.064198467,-1.1246925,1.4588647399999992
propanol,378.15,-15.91024291,-14.35474419,719.31,60.0953,REF,-2.31965781,0.0476635951,-1.25401024,1.5554987199999992
propanol,373.15,-16.15461156,-14.50744982,723.28,60.0953,REF,-2.45656973,0.0351854796,-1.3852162,1.6471617399999996
propanol,368.15,-16.40076282,-14.66638177,727.28,60.0953,REF,-2.59456265,0.025831313,-1.51835847,1.7343810500000014
propanol,363.15,-16.64866657,-14.83109643,731.31,60.0953,REF,-2.73393005,0.0188612916,-1.65351044,1.817570139999999
propanol,358.15,-16.89829177,-15.00125667,735.38,60.0953,REF,-2.87491627,0.0136975347,-1.79075202,1.8970351
propanol,353.15,-17.14960654,-15.17661731,739.49,60.0953,REF,-3.01772207,0.0098934082,-1.93016097,1.9729892300000014
propanol,348.15,-17.40257834,-15.35700638,743.63,60.0953,REF,-3.16251338,0.0071065207,-2.07181114,2.045571960000002
propanol,343.15,-17.65717409,-15.54231422,747.82,60.0953,REF,-3.30942576,0.0050762848,-2.21576919,2.114859870000002
propanol,338.15,-17.91336033,-15.7324795,752.04,60.0953,REF,-3.4585713,0.0036056203,-2.36209574,2.1808808299999995
propanol,333.15,-18.17110338,-15.9274781,756.29,60.0953,REF,-3.6100443,0.0025463842,-2.51084671,2.2436252800000016
propanol,328.15,-18.43036953,-16.12731334,760.59,60.0953,REF,-3.76392647,0.0017878871,-2.6620753,2.3030561899999995
propanol,323.15,-18.69112519,-16.33200816,764.92,60.0953,REF,-3.92029141,0.0012479219,-2.815834,2.35911703
propanol,318.15,-18.95333714,-16.54159774,769.3,60.0953,REF,-4.0792092,0.0008658043,-2.97217735,2.4117393999999983
propanol,313.15,-19.21697271,-16.75612433,773.71,60.0953,REF,-4.24074982,0.0005970142,-3.13116388,2.4608483800000016
