Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,x,delta_mu
propanol,403.15,-14.71611476,-13.99483166,700.0,60.0953,SLE,-1.16988575,0.4299432563,-0.25239208,0.06762609,0.7212831000000008
propanol,398.15,-14.95115832,-14.06567833,703.8,60.0953,SLE,-1.31174908,0.3477950633,-0.35536547,0.04878102,0.8854799899999986
propanol,393.15,-15.18811761,-14.14429779,707.63,60.0953,SLE,-1.45396805,0.2747935819,-0.46674253,0.03515863,1.0438198200000013
propanol,388.15,-15.42696862,-14.23608105,711.49,60.0953,SLE,-1.59350893,0.2138782699,-0.58250941,0.02549712,1.190887570000001
propanol,383.15,-15.66768595,-14.34204537,715.38,60.0953,SLE,-1.72967251,0.1648948112,-0.7004185,0.01863492,1.32564058
propanol,378.15,-15.91024291,-14.46128847,719.31,60.0953,SLE,-1.86283075,0.1263239765,-0.81943289,0.01371416,1.4489544399999996
propanol,373.15,-16.15461156,-14.5923632,723.28,60.0953,SLE,-1.99369382,0.0963204553,-0.93916962,0.01014626,1.56224836
propanol,368.15,-16.40076282,-14.73384326,727.28,60.0953,SLE,-2.1229974,0.0731579347,-1.05956112,0.0075336,1.6669195600000002
propanol,363.15,-16.64866657,-14.88452166,731.31,60.0953,SLE,-2.2513852,0.0553714715,-1.18066963,0.00560551,1.7641449099999988
propanol,358.15,-16.89829177,-15.04341276,735.38,60.0953,SLE,-2.37940125,0.0417690494,-1.30261704,0.00417445,1.8548790099999994
propanol,353.15,-17.14960654,-15.20974634,739.49,60.0953,SLE,-2.50748669,0.0314034339,-1.425536,0.00310823,1.9398602
propanol,348.15,-17.40257834,-15.38292595,743.63,60.0953,SLE,-2.63599855,0.0235306682,-1.54955608,0.00231207,2.019652390000001
propanol,343.15,-17.65717409,-15.56249532,747.82,60.0953,SLE,-2.76522508,0.0175707958,-1.67479644,0.00171702,2.0946787700000016
propanol,338.15,-17.91336033,-15.74811176,752.04,60.0953,SLE,-2.89539803,0.0130739974,-1.80136224,0.00127234,2.1652485699999993
propanol,333.15,-18.17110338,-15.93952159,756.29,60.0953,SLE,-3.02670453,0.0096926599,-1.92934539,0.00094036,2.2315817900000017
propanol,328.15,-18.43036953,-16.13653954,760.59,60.0953,SLE,-3.15929759,0.0071589954,-2.05882701,0.00069295,2.293829989999999
propanol,323.15,-18.69112519,-16.33903487,764.92,60.0953,SLE,-3.29330295,0.0052673653,-2.18987841,0.00050898,2.352090320000002
propanol,318.15,-18.95333714,-16.54691733,769.3,60.0953,SLE,-3.42882673,0.0038603283,-2.3225645,0.00037254,2.406419809999999
propanol,313.15,-19.21697271,-16.76012689,773.71,60.0953,SLE,-3.56596114,0.0028177361,-2.45694624,0.00027167,2.4568458200000016
propanol,308.15,-19.48199998,-16.97862543,778.17,60.0953,SLE,-3.70478945,0.0020482112,-2.59308326,0.00019734,2.50337455
propanol,303.15,-19.74838803,-17.2023899,782.67,60.0953,SLE,-3.84539027,0.0014825056,-2.73103633,0.00014276,2.545998130000001
propanol,298.15,-20.01610718,-17.43140685,787.21,60.0953,SLE,-3.98784144,0.0010683361,-2.87086982,0.00010284,2.5847003300000004
2-propanol,403.15,-14.71611476,-14.09829248,692.67,60.0953,SLE,-1.11382451,0.4643225551,-0.21623465,0.07694413,0.6178222800000004
2-propanol,398.15,-14.95115832,-14.17521826,696.44,60.0953,SLE,-1.25164843,0.3816104957,-0.31292514,0.05602109,0.7759400599999999
2-propanol,393.15,-15.18811761,-14.25389211,700.23,60.0953,SLE,-1.39307283,0.3047627482,-0.42068288,0.04045081,0.9342255000000002
2-propanol,388.15,-15.42696862,-14.34251309,704.06,60.0953,SLE,-1.533609,0.2386849014,-0.53487299,0.02926786,1.0844555299999996
2-propanol,383.15,-15.66768595,-14.44430078,707.93,60.0953,SLE,-1.67137219,0.1846317352,-0.65234814,0.02131218,1.2233851699999985
2-propanol,378.15,-15.91024291,-14.55940621,711.82,60.0953,SLE,-1.80614983,0.1416799096,-0.77146341,0.01562608,1.3508366999999986
2-propanol,373.15,-16.15461156,-14.68677848,715.76,60.0953,SLE,-1.9384209,0.1081160012,-0.89149675,0.01152336,1.4678330800000001
2-propanol,368.15,-16.40076282,-14.82507609,719.73,60.0953,SLE,-2.06886219,0.08214877,-1.01221504,0.00853371,1.575686730000001
2-propanol,363.15,-16.64866657,-14.97305551,723.73,60.0953,SLE,-2.19812819,0.0621894408,-1.13360779,0.00633683,1.6756110599999996
2-propanol,358.15,-16.89829177,-15.12966252,727.77,60.0953,SLE,-2.3267939,0.0469197533,-1.25576707,0.00471201,1.76862925
2-propanol,353.15,-17.14960654,-15.29404847,731.84,60.0953,SLE,-2.45533928,0.035282126,-1.37882102,0.00350478,1.8555580700000007
2-propanol,348.15,-17.40257834,-15.46554552,735.96,60.0953,SLE,-2.58415795,0.0264426758,-1.50290506,0.00260521,1.9370328200000024
2-propanol,343.15,-17.65717409,-15.64363401,740.11,60.0953,SLE,-2.71357186,0.0197503342,-1.62815008,0.00193387,2.013540080000002
2-propanol,338.15,-17.91336033,-15.82791694,744.3,60.0953,SLE,-2.84384251,0.0147000071,-1.75467522,0.00143271,2.08544339
2-propanol,333.15,-18.17110338,-16.01809494,748.52,60.0953,SLE,-2.97518298,0.0109014826,-1.88258684,0.00105881,2.1530084400000007
2-propanol,328.15,-18.43036953,-16.21394148,752.79,60.0953,SLE,-3.10777082,0.0080542482,-2.01198218,0.00078024,2.216428050000001
2-propanol,323.15,-18.69112519,-16.41529185,757.1,60.0953,SLE,-3.24175292,0.0059276556,-2.14294747,0.00057312,2.275833340000002
2-propanol,318.15,-18.95333714,-16.62202579,761.44,60.0953,SLE,-3.37725515,0.0043451504,-2.27556271,0.00041951,2.33131135
2-propanol,313.15,-19.21697271,-16.83405795,765.83,60.0953,SLE,-3.51438748,0.00317201,-2.40990316,0.00030592,2.382914760000002
2-propanol,308.15,-19.48199998,-17.05132949,770.25,60.0953,SLE,-3.65324879,0.00230576,-2.54604148,0.0002222,2.4306704900000007
2-propanol,303.15,-19.74838803,-17.27380026,774.72,60.0953,SLE,-3.79393177,0.0016687129,-2.68405052,0.00016072,2.4745877699999994
2-propanol,298.15,-20.01610718,-17.50144376,779.23,60.0953,SLE,-3.93652628,0.0012021827,-2.82400518,0.00011574,2.514663419999998
propanone,403.15,-14.71611476,-14.97029132,710.52,58.0795,SLE,-0.64132353,0.7610330559,0.05520464,0.22838968,-0.25417655999999944
propanone,398.15,-14.95115832,-15.22610029,714.36,58.0795,SLE,-0.67506691,0.7424552134,0.04337039,0.21131635,-0.2749419700000004
